#cpu_count: 36
#total_mem: 202471645184
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1609951622.6529205,1.0,0.0,21.0,0.0,4.5,0.24,200581828608,0
1609951623.653367,0.0,0.0,100.0,0.0,0.0,0.24,200581582848,0
1609951624.6540017,0.3,0.1,99.6,0.0,0.4,0.24,200570957824,0
1609951625.6545303,2.7,2.1,95.1,0.1,4.8,0.24,200301903872,0
1609951626.6550813,10.6,3.3,85.9,0.2,14.0,0.62,199968927744,0
1609951627.6556032,31.1,7.7,60.3,0.9,39.7,0.62,199097286656,0
1609951628.6561272,56.6,5.3,38.0,0.1,62.0,0.62,198667821056,0
1609951629.6566746,83.0,6.8,10.1,0.1,89.9,0.62,198118477824,0
1609951630.6572309,91.2,3.5,5.3,0.0,94.7,0.62,197925650432,0
1609951631.6577718,74.6,5.3,20.0,0.1,80.0,5.7,197771108352,0
1609951632.6583474,69.7,6.6,23.4,0.2,76.6,5.7,197708623872,0
1609951633.6589456,85.9,5.1,9.0,0.0,91.0,5.7,197894438912,0
1609951634.6595924,83.7,4.1,12.2,0.0,87.8,5.7,197957009408,0
1609951635.6602266,71.8,4.5,23.3,0.4,76.6,5.7,197953482752,0
1609951636.660874,62.9,5.8,30.8,0.4,69.2,8.92,198076182528,0
1609951637.6615207,69.2,6.9,23.6,0.2,76.4,8.92,197921628160,0
1609951638.6621385,79.3,6.9,13.8,0.0,86.2,8.92,197780668416,0
1609951639.6638544,90.0,5.7,4.3,0.0,95.7,8.92,197540405248,0
1609951640.6644409,88.1,7.2,4.7,0.0,95.3,8.92,197281316864,0
1609951641.6650884,88.0,7.1,4.9,0.0,95.1,12.85,197274017792,0
1609951642.6657274,87.7,5.6,6.6,0.0,93.4,12.85,197267443712,0
1609951643.6663728,85.7,5.1,9.0,0.2,91.0,12.85,197687418880,0
1609951644.66699,71.4,6.0,21.9,0.7,78.1,12.85,197621350400,0
1609951645.6676607,78.3,8.2,13.6,0.0,86.5,12.85,197618753536,0
1609951646.6683042,81.3,4.5,14.2,0.0,85.8,16.39,197698457600,0
1609951647.668938,70.1,5.0,24.8,0.2,75.2,16.39,197842366464,0
1609951648.6695714,68.0,4.8,26.5,0.7,73.5,16.39,197913358336,0
1609951649.670206,66.6,6.0,27.1,0.3,72.9,16.39,198052429824,0
1609951650.6708648,69.9,4.6,25.3,0.2,74.7,16.39,197992071168,0
1609951651.6715443,70.1,7.0,22.9,0.0,77.1,19.8,197948628992,0
1609951652.6722093,78.1,5.0,16.8,0.1,83.2,19.8,197960622080,0
1609951653.6728246,81.3,5.6,12.8,0.3,87.2,19.8,197931061248,0
1609951654.673493,66.9,4.9,27.9,0.3,72.1,19.8,197934301184,0
1609951655.674138,65.7,5.2,28.7,0.4,71.3,19.8,197962285056,0
1609951656.674808,58.7,4.5,35.6,1.1,64.4,21.82,198234222592,0
1609951657.6754448,53.5,4.5,41.9,0.0,58.1,21.82,198347890688,0
1609951658.676085,47.5,3.4,48.8,0.2,51.2,21.82,198460850176,0
1609951659.6767402,49.5,3.6,45.3,1.6,54.6,21.82,198682116096,0
1609951660.6773636,55.9,8.5,35.2,0.4,64.8,21.82,198303768576,0
1609951661.6779923,75.8,6.5,17.3,0.4,82.7,24.0,197886857216,0
1609951662.6788626,92.2,5.6,2.2,0.0,97.8,24.0,197535981568,0
1609951663.67949,86.5,8.5,5.0,0.0,95.0,24.0,197145501696,0
1609951664.684131,89.9,5.7,4.4,0.0,95.6,24.0,197175910400,0
1609951665.6847272,87.5,6.0,6.5,0.0,93.5,24.0,197081169920,0
1609951666.685286,82.8,5.3,11.9,0.0,88.1,26.32,197448089600,0
1609951667.6858816,72.9,6.9,19.6,0.6,80.4,26.32,197707968512,0
1609951668.686444,68.0,5.2,26.0,0.7,74.0,26.32,197582487552,0
1609951669.6869984,68.9,6.7,24.4,0.1,75.6,26.32,197604618240,0
1609951670.6875913,67.3,5.4,27.2,0.1,72.8,26.32,197718089728,0
1609951671.6881719,70.3,5.4,24.3,0.1,75.7,28.38,197857206272,0
1609951672.6887145,73.1,7.5,18.9,0.5,81.1,28.38,197696970752,0
1609951673.6892939,89.5,3.6,7.0,0.0,93.0,28.38,197814808576,0
1609951674.6898484,76.3,5.4,18.0,0.3,82.0,28.38,197881905152,0
1609951675.6904185,75.0,6.4,18.6,0.1,81.4,28.38,197420204032,0
1609951676.6909587,68.7,6.4,24.7,0.2,75.3,30.99,196754677760,0
1609951677.691539,77.2,6.1,16.7,0.0,83.3,30.99,197344034816,0
1609951678.6921034,83.8,9.5,6.8,0.0,93.2,30.99,197057708032,0
1609951679.6926675,87.5,6.6,5.9,0.0,94.1,30.99,197298552832,0
1609951680.693342,85.2,8.3,6.5,0.0,93.5,30.99,197000278016,0
1609951681.6939907,90.7,6.2,3.1,0.0,96.9,32.91,197254397952,0
1609951682.695105,89.6,5.7,4.7,0.0,95.3,32.91,197326110720,0
1609951683.695787,90.3,5.1,4.5,0.0,95.5,32.91,197358542848,0
1609951684.6964486,92.2,3.1,4.6,0.0,95.4,32.91,197358653440,0
1609951685.6970873,85.4,4.1,9.9,0.6,90.1,32.91,197311827968,0
1609951686.697645,73.0,5.0,21.9,0.1,78.1,37.0,196828614656,0
1609951687.6982212,74.0,7.1,18.6,0.2,81.4,37.0,196147433472,0
1609951688.6988506,78.2,6.5,14.9,0.4,85.1,37.0,197763764224,0
1609951689.6994188,72.0,6.4,21.1,0.4,78.9,37.0,197579419648,0
1609951690.6999593,71.5,6.6,21.9,0.0,78.1,37.0,197724971008,0
1609951691.7005143,77.5,6.4,16.0,0.0,84.0,38.85,197753176064,0
1609951692.7010796,81.8,8.0,10.2,0.0,89.8,38.85,197580910592,0
1609951693.7024045,86.8,7.0,6.2,0.0,93.8,38.85,197320773632,0
1609951694.7033584,89.7,5.7,4.6,0.0,95.4,38.85,197334671360,0
1609951695.7039998,85.6,5.4,9.0,0.0,91.0,38.85,197013340160,0
1609951696.7046373,87.6,7.3,4.9,0.2,95.1,43.1,196260184064,0
1609951697.7053094,87.5,6.7,5.7,0.0,94.3,43.1,197345849344,0
1609951698.7059727,90.1,5.1,4.8,0.0,95.2,43.1,197507207168,0
1609951699.7066448,75.9,5.4,18.1,0.6,81.9,43.1,197653553152,0
1609951700.7072675,82.6,6.2,11.0,0.3,89.0,43.1,197819576320,0
1609951701.7078607,74.9,6.2,18.8,0.1,81.2,43.98,197656858624,0
1609951702.708431,77.5,6.2,16.1,0.2,83.9,43.98,197615984640,0
1609951703.7089672,85.6,3.7,10.5,0.1,89.5,43.98,197981569024,0
1609951704.7095585,82.7,5.7,11.6,0.0,88.4,43.98,197687537664,0
1609951705.7101595,75.0,6.4,18.6,0.0,81.4,43.98,197323857920,0
1609951706.71078,80.5,5.8,13.7,0.0,86.3,46.54,196998819840,0
1609951707.7113569,75.4,5.3,19.2,0.1,80.8,46.54,197424152576,0
1609951708.7119195,69.4,6.6,23.6,0.4,76.4,46.54,197550010368,0
1609951709.7124789,71.1,5.9,23.0,0.0,77.0,46.54,197848133632,0
1609951710.7130272,58.1,7.8,33.4,0.7,66.6,46.54,197651914752,0
1609951711.7135932,76.0,7.3,16.7,0.0,83.3,46.98,197455679488,0
1609951712.7142618,82.2,10.6,7.1,0.2,92.9,46.98,197016215552,0
1609951713.7201102,89.8,6.4,3.9,0.0,96.1,46.98,196971765760,0
1609951714.7209373,88.5,6.8,4.7,0.0,95.3,46.98,196934205440,0
1609951715.7216969,86.9,8.7,4.4,0.0,95.6,46.98,196569518080,0
1609951716.7226398,88.7,6.8,4.5,0.0,95.5,47.78,196587180032,0
1609951717.723427,89.2,6.2,4.7,0.0,95.3,47.78,196226854912,0
1609951718.7246754,87.1,8.4,4.5,0.0,95.5,47.78,196847325184,0
1609951719.7253325,92.4,3.0,4.6,0.0,95.4,47.78,197016698880,0
1609951720.7260258,80.5,5.2,13.9,0.4,86.1,47.78,197210021888,0
1609951721.7266605,63.9,5.8,29.8,0.5,70.2,47.56,197379436544,0
1609951722.727373,91.4,7.3,1.2,0.0,98.8,47.56,197135265792,0
1609951723.7281077,85.9,8.6,5.5,0.0,94.5,47.56,196982591488,0
1609951724.7296498,90.9,5.1,4.0,0.0,96.0,47.56,196732530688,0
1609951725.733749,89.7,5.7,4.6,0.0,95.4,47.56,197065043968,0
1609951726.7351959,87.8,7.6,4.5,0.0,95.5,49.03,196871823360,0
1609951727.7358522,89.1,6.2,4.7,0.0,95.3,49.03,196826247168,0
1609951728.7365482,89.2,6.3,4.5,0.0,95.5,49.03,196609863680,0
1609951729.7376995,87.5,7.0,5.5,0.0,94.5,49.03,196608909312,0
1609951730.738346,89.4,6.9,3.7,0.0,96.3,49.03,196678778880,0
1609951731.7389107,88.9,5.2,5.9,0.0,94.1,51.51,196895186944,0
1609951732.7394705,83.5,7.0,9.5,0.1,90.5,51.51,197170475008,0
1609951733.740131,81.5,5.4,12.9,0.2,87.1,51.51,197492072448,0
1609951734.7407944,91.4,5.1,3.5,0.0,96.5,51.51,197634801664,0
1609951735.741397,75.3,4.4,20.0,0.2,79.9,51.51,197875372032,0
1609951736.7419348,72.1,5.2,22.6,0.1,77.4,51.95,197799305216,0
1609951737.74251,79.1,6.4,14.5,0.0,85.5,51.95,197865099264,0
1609951738.7431114,80.0,4.0,15.7,0.2,84.3,51.95,197943955456,0
1609951739.7437203,79.5,6.9,13.6,0.1,86.5,51.95,197804163072,0
1609951740.7442973,75.0,7.8,17.1,0.1,82.8,51.95,197526253568,0
1609951741.7448537,82.5,6.6,11.0,0.0,89.0,52.68,197354283008,0
1609951742.745726,89.2,6.9,3.9,0.0,96.1,52.68,197128536064,0
1609951743.7466922,89.5,6.6,3.9,0.0,96.1,52.68,197071912960,0
1609951744.7473521,87.9,6.7,5.3,0.0,94.7,52.68,197299224576,0
1609951745.7479932,83.7,5.3,10.9,0.1,89.1,52.68,196771926016,0
1609951746.7486012,84.6,6.1,9.2,0.1,90.8,55.67,196229980160,0
1609951747.7492864,85.2,6.5,8.3,0.0,91.7,55.67,197627121664,0
1609951748.749895,86.5,6.3,7.2,0.0,92.8,55.67,197532086272,0
1609951749.7505026,83.3,4.9,11.7,0.1,88.3,55.67,197737611264,0
1609951750.751096,86.7,5.6,7.7,0.0,92.3,55.67,197723996160,0
1609951751.751654,81.1,8.0,10.9,0.0,89.2,55.85,197510561792,0
1609951752.753302,89.4,5.0,5.6,0.0,94.4,55.85,197289099264,0
1609951753.753976,86.1,6.4,7.5,0.0,92.5,55.85,197337182208,0
1609951754.7550154,87.5,6.5,6.0,0.0,94.0,55.85,197263876096,0
1609951755.755704,88.3,6.8,4.9,0.0,95.1,55.85,197138673664,0
1609951756.7570028,89.0,6.2,4.8,0.0,95.1,57.07,197207072768,0
1609951757.7576523,89.4,6.3,4.2,0.0,95.8,57.07,196975296512,0
1609951758.7584617,88.1,7.3,4.6,0.0,95.4,57.07,196918616064,0
1609951759.7594883,90.8,4.7,4.4,0.0,95.6,57.07,196963241984,0
1609951760.7609541,87.6,6.8,5.6,0.0,94.4,57.07,196881891328,0
1609951761.7623427,87.2,6.5,6.4,0.0,93.6,56.82,197054881792,0
1609951762.7629788,88.4,6.7,4.9,0.0,95.1,56.82,196760629248,0
1609951763.7640443,89.0,6.5,4.4,0.0,95.6,56.82,197146849280,0
1609951764.770964,91.2,4.4,4.5,0.0,95.5,56.82,197110996992,0
1609951765.7716537,84.1,6.5,9.3,0.1,90.7,56.82,197447888896,0
1609951766.7722394,60.2,5.5,34.0,0.2,65.9,54.75,197325766656,0
1609951767.7727737,80.0,10.3,9.6,0.1,90.4,54.75,197343600640,0
1609951768.7733154,88.9,8.0,3.1,0.0,96.9,54.75,197190103040,0
1609951769.7739499,91.5,3.9,4.7,0.0,95.3,54.75,197092425728,0
1609951770.7753377,89.3,6.0,4.7,0.0,95.3,54.75,197095272448,0
1609951771.775972,88.4,6.8,4.8,0.0,95.2,56.7,196916514816,0
1609951772.7765524,88.9,5.8,5.3,0.0,94.7,56.7,196584280064,0
1609951773.7778456,88.5,7.8,3.6,0.0,96.4,56.7,195882844160,0
1609951774.7784994,88.2,7.2,4.6,0.0,95.4,56.7,195231817728,0
1609951775.7802312,88.4,7.1,4.4,0.0,95.6,56.7,196481703936,0
1609951776.7829423,89.9,5.5,4.6,0.0,95.4,58.96,196128620544,0
1609951777.7837927,90.4,4.9,4.6,0.0,95.4,58.96,196428681216,0
1609951778.7851152,86.5,7.5,6.0,0.0,94.0,58.96,196268777472,0
1609951779.7857416,89.1,7.7,3.2,0.0,96.8,58.96,196451856384,0
1609951780.7864158,88.8,6.6,4.6,0.0,95.4,58.96,196376346624,0
1609951781.787051,88.7,6.1,5.1,0.0,94.9,61.77,196180066304,0
1609951782.7891276,92.5,3.5,4.0,0.0,96.0,61.77,196686561280,0
1609951783.7896984,86.5,8.4,5.2,0.0,94.8,61.77,196834988032,0
1609951784.7908251,91.4,4.5,4.1,0.0,95.9,61.77,196816076800,0
1609951785.791403,88.9,5.9,5.2,0.0,94.8,61.77,196770500608,0
1609951786.791965,86.1,7.9,6.0,0.0,94.0,61.71,196881162240,0
1609951787.7925308,89.5,4.6,5.9,0.0,94.1,61.71,196558454784,0
1609951788.7931323,85.0,7.5,7.4,0.1,92.6,61.71,195761664000,0
1609951789.7950866,84.5,7.3,8.2,0.0,91.8,61.71,195738316800,0
