workloadID, workload argument, run, tFC, tVM
0,1000000,0,3874,212
0,1000000,1,3653,188
0,1000000,2,3669,188
0,1000000,3,3673,188
0,1000000,4,3683,188
0,1000000,5,3682,188
0,1000000,6,3674,188
0,1000000,7,3681,188
0,1000000,8,3678,188
0,1000000,9,3682,188
0,2500000,0,4122,671
0,2500000,1,4130,671
0,2500000,2,4153,671
0,2500000,3,4158,670
0,2500000,4,4157,671
0,2500000,5,4165,671
0,2500000,6,4165,671
0,2500000,7,4169,671
0,2500000,8,4157,671
0,2500000,9,4162,671
0,4000000,0,4793,1297
0,4000000,1,4794,1297
0,4000000,2,4749,1297
0,4000000,3,4754,1297
0,4000000,4,4782,1297
0,4000000,5,4793,1297
0,4000000,6,4782,1297
0,4000000,7,4785,1297
0,4000000,8,4794,1297
0,4000000,9,4782,1297
0,5500000,0,5493,2030
0,5500000,1,5533,2030
0,5500000,2,5513,2030
0,5500000,3,5513,2030
0,5500000,4,5521,2030
0,5500000,5,5493,2030
0,5500000,6,5526,2030
0,5500000,7,5517,2030
0,5500000,8,5513,2030
0,5500000,9,5518,2030
0,7000000,0,6338,2851
0,7000000,1,6337,2852
0,7000000,2,6342,2852
0,7000000,3,6345,2852
0,7000000,4,6342,2852
0,7000000,5,6341,2852
0,7000000,6,6310,2853
0,7000000,7,6338,2853
0,7000000,8,6338,2851
0,7000000,9,6305,2852
0,8500000,0,7233,3751
0,8500000,1,7238,3751
0,8500000,2,7241,3751
0,8500000,3,7238,3751
0,8500000,4,7241,3751
0,8500000,5,7237,3751
0,8500000,6,7213,3751
0,8500000,7,7241,3751
0,8500000,8,7249,3751
0,8500000,9,7242,3751
2,10,0,3891,376
2,10,1,3835,357
2,10,2,3821,337
2,10,3,3835,355
2,10,4,3832,351
2,10,5,3841,359
2,10,6,3867,352
2,10,7,3840,358
2,10,8,3839,357
2,10,9,3833,346
2,20,0,4096,576
2,20,1,4071,590
2,20,2,4053,570
2,20,3,4051,565
2,20,4,4063,586
2,20,5,4065,590
2,20,6,4068,582
2,20,7,4068,590
2,20,8,4096,581
2,20,9,4042,559
2,40,0,4520,1042
2,40,1,4488,1006
2,40,2,4556,1033
2,40,3,4527,1045
2,40,4,4521,1046
2,40,5,4543,1024
2,40,6,4496,1018
2,40,7,4524,1044
2,40,8,4555,1033
2,40,9,4535,1054
2,80,0,5465,1949
2,80,1,5343,1862
2,80,2,5408,1886
2,80,3,5468,1985
2,80,4,5487,1979
2,80,5,5444,1959
2,80,6,5457,1944
2,80,7,5407,1920
2,80,8,5435,1957
2,80,9,5440,1961
2,160,0,7264,3746
2,160,1,7071,3544
2,160,2,7324,3795
2,160,3,7187,3709
2,160,4,7124,3647
2,160,5,7245,3734
2,160,6,7187,3708
2,160,7,7069,3588
2,160,8,7272,3750
2,160,9,7175,3687
2,320,0,11018,7540
2,320,1,10632,7155
2,320,2,10980,7498
2,320,3,10772,7256
2,320,4,10599,7121
2,320,5,10843,7327
2,320,6,10801,7284
2,320,7,11043,7560
2,320,8,10520,7002
2,320,9,10927,7446
