#cpu_count: 36
#total_mem: 202471649280
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1610450608.281361,0.0,0.0,13.0,0.0,0.0,0.08,200232456192,0
1610450609.2818544,0.0,0.0,100.0,0.0,0.0,0.08,200232275968,0
1610450610.2827673,0.1,0.0,99.8,0.0,0.2,0.08,200226873344,0
1610450611.2837183,1.2,1.2,97.3,0.3,2.7,0.07,200120782848,0
1610450612.2847784,5.5,2.2,92.0,0.2,8.0,0.07,199780638720,0
1610450613.28592,12.8,1.8,85.0,0.4,15.0,0.07,199243837440,0
1610450614.28712,15.3,3.0,81.1,0.6,18.9,0.07,198804656128,0
1610450615.2882884,16.4,2.2,80.7,0.7,19.3,0.07,198680109056,0
1610450616.2894459,19.5,1.7,78.1,0.6,21.9,1.11,198428889088,0
1610450617.2906802,22.7,2.8,74.2,0.3,25.8,1.11,198658531328,0
1610450618.2918923,27.0,1.7,71.1,0.2,28.9,1.11,198521704448,0
1610450619.293133,30.0,2.5,66.8,0.8,33.2,1.11,198481158144,0
1610450620.294368,32.6,1.9,64.8,0.7,35.2,1.11,198003531776,0
1610450621.2957592,39.9,2.7,56.6,0.8,43.4,3.02,198000820224,0
1610450622.2973278,38.8,2.3,57.9,0.9,42.1,3.02,197748330496,0
1610450623.29872,33.8,2.2,63.0,1.0,37.0,3.02,197483147264,0
1610450624.2999897,31.4,2.7,65.4,0.5,34.6,3.02,197735915520,0
1610450625.3008075,29.7,2.0,68.0,0.2,32.0,3.02,197859979264,0
1610450626.3020613,29.3,2.6,66.9,1.2,33.1,4.62,198246924288,0
1610450627.3033116,31.6,2.5,65.3,0.6,34.8,4.62,198038175744,0
1610450628.3047855,41.0,2.6,55.3,1.1,44.6,4.62,197872029696,0
1610450629.3063872,43.4,3.4,52.5,0.6,47.5,4.62,197628346368,0
1610450630.3079875,52.5,2.9,44.1,0.5,55.9,4.62,197174460416,0
1610450631.309691,52.4,2.4,44.7,0.5,55.3,6.41,196903428096,0
1610450632.3113525,46.1,0.9,52.8,0.2,47.3,6.41,196971692032,0
1610450633.3127892,40.3,1.6,57.6,0.5,42.3,6.41,197409136640,0
1610450634.31415,31.9,2.2,65.6,0.3,34.4,6.41,197799444480,0
1610450635.3154304,31.4,3.0,65.2,0.4,34.9,6.41,198071926784,0
1610450636.3166442,32.3,2.6,64.7,0.4,35.2,7.18,197835141120,0
1610450637.3179111,30.4,2.7,66.7,0.1,33.3,7.18,198024486912,0
1610450638.319151,32.6,3.1,63.9,0.4,36.1,7.18,197848760320,0
1610450639.3203657,34.8,2.9,62.0,0.3,38.0,7.18,197437755392,0
1610450640.3215554,28.3,2.8,68.5,0.4,31.5,7.18,197710995456,0
1610450641.3228226,37.5,3.3,59.1,0.1,40.9,8.45,197936443392,0
1610450642.3241138,41.3,3.3,54.6,0.8,45.4,8.45,197825335296,0
1610450643.3253024,41.3,2.4,55.0,1.3,45.0,8.45,197420290048,0
1610450644.3265803,43.3,3.3,52.2,1.2,47.8,8.45,197286203392,0
1610450645.3279097,52.5,3.8,42.9,0.8,57.1,8.45,197138329600,0
1610450646.3290145,54.7,2.3,42.8,0.2,57.2,10.58,197019942912,0
1610450647.3303726,56.3,3.9,39.3,0.5,60.8,10.58,196437807104,0
1610450648.3312414,47.8,2.2,49.8,0.2,50.2,10.58,196353277952,0
1610450649.332553,54.6,4.7,40.4,0.3,59.6,10.58,196643340288,0
1610450650.3339543,49.5,3.4,46.9,0.2,53.1,10.58,196613857280,0
1610450651.3353832,54.9,3.8,41.0,0.3,59.1,12.77,196842831872,0
