workloadID, workload argument, tFC, tVM, start time
0,2500000,4288,671,1610736678
0,1000000,3615,188,1610736679
0,1000000,3647,188,1610736680
2,10,3862,379,1610736680
0,2500000,4118,672,1610736680
0,2500000,4108,671,1610736680
2,40,4647,1191,1610736680
2,80,5652,2158,1610736679
0,1000000,3666,188,1610736681
2,40,4668,1203,1610736681
0,7000000,6280,2853,1610736679
0,1000000,3620,188,1610736682
2,20,4159,663,1610736682
0,7000000,6304,2854,1610736680
2,80,5727,2259,1610736681
0,2500000,4351,672,1610736682
2,20,4108,651,1610736683
0,5500000,5465,2031,1610736682
0,5500000,5467,2031,1610736682
0,4000000,4784,1298,1610736683
0,5500000,5485,2032,1610736682
2,160,8171,4338,1610736680
2,40,4724,1227,1610736683
0,7000000,6318,2854,1610736682
0,7000000,6314,2854,1610736682
0,5500000,5492,2033,1610736683
2,10,4012,518,1610736685
0,7000000,6341,2855,1610736683
0,1000000,3676,189,1610736686
0,5500000,5545,2039,1610736684
0,7000000,6294,2854,1610736683
2,10,4067,545,1610736686
0,4000000,4748,1299,1610736685
0,1000000,3670,188,1610736686
0,5500000,5501,2033,1610736684
0,5500000,5504,2031,1610736684
0,5500000,5505,2031,1610736685
2,80,6469,2967,1610736684
0,5500000,5482,2034,1610736685
0,1000000,3641,188,1610736687
2,10,3908,398,1610736687
0,2500000,4091,672,1610736687
2,40,4667,1164,1610736687
0,1000000,3680,188,1610736688
0,5500000,5533,2033,1610736686
2,40,4620,1158,1610736687
0,4000000,4775,1298,1610736687
0,1000000,3663,188,1610736688
0,5500000,5487,2032,1610736686
0,1000000,3676,191,1610736688
0,2500000,4163,672,1610736688
0,7000000,6327,2856,1610736686
0,2500000,4156,671,1610736688
0,4000000,4773,1298,1610736687
0,2500000,4124,672,1610736688
2,160,9144,5644,1610736684
0,8500000,7218,3755,1610736686
0,7000000,6290,2855,1610736687
0,8500000,7210,3755,1610736686
0,8500000,7213,3754,1610736687
0,5500000,5701,2032,1610736688
0,5500000,5525,2033,1610736689
2,160,7542,4064,1610736687
0,7000000,6308,2854,1610736688
2,160,9273,5783,1610736685
0,1000000,3704,188,1610736691
0,5500000,5756,2033,1610736689
0,1000000,3677,189,1610736691
0,5500000,5720,2031,1610736689
0,1000000,3643,188,1610736691
0,1000000,3678,188,1610736691
2,320,13719,10223,1610736681
0,7000000,6333,2854,1610736689
0,7000000,6299,2853,1610736690
0,1000000,3669,189,1610736692
2,40,4638,1141,1610736692
0,4000000,4979,1297,1610736692
2,320,13632,10126,1610736683
0,2500000,4131,671,1610736693
0,1000000,3694,188,1610736694
2,10,3939,413,1610736693
2,10,3975,425,1610736693
2,10,3925,408,1610736694
0,8500000,7203,3753,1610736690
0,7000000,6357,2854,1610736692
0,4000000,4796,1310,1610736693
0,5500000,5508,2031,1610736693
0,5500000,5508,2031,1610736693
2,320,13785,10272,1610736684
2,10,4122,409,1610736694
0,8500000,7196,3753,1610736691
2,320,13685,10195,1610736685
2,160,7731,4274,1610736691
2,40,4869,1353,1610736694
2,40,4706,1191,1610736694
0,1000000,3654,189,1610736695
0,7000000,6343,2862,1610736693
2,320,13305,9805,1610736686
0,8500000,7229,3753,1610736692
0,8500000,7208,3755,1610736693
0,7000000,6289,2855,1610736694
2,80,5819,2329,1610736694
