#cpu_count: 36
#total_mem: 202471649280
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1610736676.8897765,0.0,0.0,12.0,0.0,0.0,0.18,200094064640,0
1610736677.8902864,0.0,0.0,100.0,0.0,0.0,0.18,200093466624,0
1610736678.8912191,0.1,0.1,99.8,0.0,0.2,0.16,200090603520,0
1610736679.8921704,1.1,1.0,97.8,0.2,2.2,0.16,199983423488,0
1610736680.8932552,5.6,3.2,90.5,0.7,9.5,0.16,199704051712,0
1610736681.8943734,14.0,2.7,83.0,0.3,17.0,0.16,199262277632,0
1610736682.8955069,24.2,3.6,71.8,0.4,28.2,0.16,198702747648,0
1610736683.896545,27.9,4.1,67.4,0.5,32.6,1.83,198358093824,0
1610736684.8972318,35.5,2.5,61.5,0.5,38.5,1.83,198247849984,0
1610736685.8983636,40.6,4.5,54.6,0.3,45.4,1.83,198137630720,0
1610736686.8991094,41.0,4.3,54.0,0.7,46.0,1.83,197752717312,0
1610736687.9003057,50.2,5.7,43.5,0.5,56.5,1.83,197533696000,0
1610736688.9015043,56.9,5.3,36.8,0.9,63.2,4.97,197282729984,0
1610736689.902778,61.4,4.2,33.9,0.4,66.1,4.97,197209640960,0
1610736690.9040706,60.2,2.1,37.6,0.2,62.4,4.97,197475778560,0
1610736691.9052744,54.7,3.3,41.7,0.2,58.3,4.97,197684576256,0
1610736692.9065142,45.5,3.8,50.5,0.2,49.5,4.97,197990764544,0
1610736693.9076905,40.8,3.8,55.4,0.0,44.5,6.97,197732524032,0
1610736694.9088776,44.8,6.1,48.6,0.5,51.4,6.97,197804998656,0
1610736695.9100661,58.7,5.6,34.7,0.9,65.2,6.97,197506646016,0
1610736696.9112446,63.8,4.4,31.1,0.7,68.9,6.97,197111898112,0
1610736697.9124694,54.2,3.7,42.0,0.1,58.0,6.97,197263519744,0
1610736698.9136195,53.2,5.5,41.1,0.3,58.9,9.94,197733134336,0
1610736699.9147778,45.6,4.9,49.2,0.3,50.8,9.94,197775884288,0
1610736700.9159076,46.8,4.8,47.6,0.8,52.4,9.94,197706956800,0
1610736701.9170854,51.6,4.7,43.4,0.4,56.6,9.94,197774262272,0
1610736702.9181693,60.4,3.8,35.5,0.4,64.3,9.94,197693882368,0
1610736703.9190528,65.1,5.6,28.1,1.2,71.8,12.75,197507047424,0
1610736704.9201865,48.0,4.8,46.4,0.9,53.6,12.75,197190995968,0
1610736705.9213042,53.9,4.9,40.4,0.8,59.6,12.75,197323784192,0
1610736706.922564,53.8,5.0,41.2,0.0,58.9,12.75,197386694656,0
1610736707.9238586,54.7,4.1,41.1,0.1,58.8,12.75,197325979648,0
1610736708.9251456,50.0,4.5,45.4,0.0,54.6,14.21,197352148992,0
1610736709.926409,55.7,3.9,39.6,0.7,60.4,14.21,197582872576,0
1610736710.927236,55.8,5.3,38.3,0.7,61.7,14.21,197984894976,0
1610736711.928069,59.2,4.2,36.6,0.0,63.4,14.21,197821648896,0
1610736712.9292274,47.2,5.0,47.6,0.2,52.4,14.21,197890445312,0
1610736713.93045,44.4,6.1,49.0,0.4,51.0,15.95,197676339200,0
1610736714.9316747,51.8,5.7,42.2,0.3,57.7,15.95,197809164288,0
1610736715.932826,56.8,4.1,38.9,0.2,61.1,15.95,197841391616,0
1610736716.9340243,56.8,3.8,38.9,0.5,61.1,15.95,197909917696,0
1610736717.9347365,48.8,4.9,45.5,0.7,54.5,15.95,197833269248,0
1610736718.935944,42.7,4.3,51.7,1.3,48.3,16.92,198034206720,0
1610736719.9372077,38.2,3.1,58.6,0.1,41.4,16.92,198496964608,0
1610736720.9384732,26.8,3.2,69.7,0.4,30.4,16.92,198681235456,0
1610736721.9396489,30.5,4.5,64.9,0.1,35.1,16.92,198705184768,0
1610736722.9408388,37.5,4.7,57.3,0.6,42.7,16.92,198354714624,0
1610736723.9415967,39.9,4.2,55.8,0.1,44.2,18.37,198108893184,0
1610736724.9422507,46.1,3.9,50.1,0.0,49.9,18.37,197786984448,0
1610736725.9429278,47.6,6.3,45.4,0.6,54.5,18.37,197727465472,0
1610736726.9440587,56.8,7.5,35.2,0.5,64.8,18.37,197100716032,0
1610736727.9453635,57.7,4.1,37.4,0.8,62.6,18.37,197326184448,0
1610736728.9466405,54.8,4.6,40.2,0.5,59.9,19.78,197359407104,0
1610736729.9478877,55.0,5.1,39.8,0.2,60.2,19.78,197357981696,0
1610736730.9491901,47.8,4.2,47.1,0.9,52.9,19.78,197489811456,0
1610736731.9504135,49.6,3.3,46.6,0.4,53.5,19.78,197808144384,0
1610736732.9515615,53.7,2.6,41.7,2.0,58.2,19.78,198270042112,0
1610736733.9526844,49.0,2.5,47.6,0.9,52.4,21.24,198267994112,0
1610736734.9539523,39.1,3.7,56.9,0.3,43.1,21.24,198216597504,0
1610736735.95511,38.5,4.6,55.8,1.1,44.2,21.24,198266978304,0
1610736736.9558134,41.1,3.0,55.8,0.0,44.2,21.24,197964763136,0
1610736737.9570346,36.9,2.1,60.0,0.9,40.0,21.24,198283468800,0
1610736738.9582958,26.3,3.4,69.8,0.6,30.2,21.06,198184136704,0
1610736739.959438,18.9,4.5,76.5,0.1,23.5,21.06,198424899584,0
1610736740.9605393,38.0,3.8,57.3,0.9,42.7,21.06,198484557824,0
1610736741.9612398,44.1,3.9,51.8,0.3,48.2,21.06,198395805696,0
1610736742.9625335,51.2,3.7,44.6,0.5,55.4,21.06,198063734784,0
1610736743.9637983,45.0,3.9,50.0,1.0,49.9,22.02,197754093568,0
1610736744.965061,48.5,3.9,47.3,0.3,52.7,22.02,197885964288,0
1610736745.9662452,55.4,4.6,39.7,0.3,60.3,22.02,197590814720,0
1610736746.9674342,49.1,4.1,46.6,0.1,53.4,22.02,197830660096,0
1610736747.9680982,50.1,5.2,44.3,0.3,55.7,22.02,197875826688,0
1610736748.9692166,51.2,5.0,43.3,0.6,56.7,23.7,197768777728,0
1610736749.9704056,64.1,4.6,30.8,0.4,69.2,23.7,197585973248,0
1610736750.971249,53.7,6.9,39.3,0.1,60.7,23.7,197074862080,0
1610736751.9723248,49.5,5.0,45.2,0.2,54.8,23.7,197105057792,0
1610736752.973488,49.9,3.1,46.9,0.0,53.1,23.7,197766754304,0
1610736753.9746122,41.1,2.4,55.4,1.1,44.7,24.2,198689386496,0
1610736754.9757733,33.8,3.1,62.3,0.9,37.6,24.2,198715129856,0
1610736755.9769413,28.3,3.8,67.8,0.1,32.2,24.2,198722113536,0
1610736756.9781127,24.2,3.5,70.8,1.5,29.2,24.2,198428184576,0
1610736757.9788058,30.6,3.4,65.7,0.3,34.3,24.2,198223052800,0
1610736758.9800484,32.9,2.9,64.0,0.1,36.0,24.43,198388600832,0
1610736759.9812994,31.2,4.3,63.8,0.7,36.2,24.43,198348955648,0
1610736760.9825063,31.6,2.6,64.9,1.0,35.2,24.43,198426398720,0
1610736761.983714,41.9,1.8,55.6,0.6,44.3,24.43,198605750272,0
1610736762.9849582,35.3,4.1,59.6,1.0,40.4,24.43,198376161280,0
1610736763.9862156,37.0,3.4,58.5,1.2,41.3,24.63,198235103232,0
1610736764.98735,38.5,4.7,56.6,0.2,43.4,24.63,198063849472,0
1610736765.9885979,36.0,3.8,60.1,0.1,39.9,24.63,198249263104,0
1610736766.9897993,39.5,5.3,54.4,0.8,45.6,24.63,198028128256,0
1610736767.9910183,55.1,7.3,37.1,0.6,62.9,24.63,197851451392,0
1610736768.992159,57.7,5.3,36.9,0.1,63.1,26.26,197547868160,0
1610736769.9929492,53.8,4.1,41.7,0.3,58.3,26.26,197462503424,0
1610736770.994137,46.7,4.3,49.0,0.1,51.0,26.26,197776138240,0
1610736771.9953272,45.3,5.1,48.7,0.9,51.3,26.26,197794971648,0
1610736772.996523,45.3,4.2,49.1,1.3,50.9,26.26,197928542208,0
1610736773.9977107,52.7,3.5,43.1,0.6,56.9,28.32,197754253312,0
1610736774.9988651,48.8,6.2,44.7,0.4,55.3,28.32,197542309888,0
1610736775.9997342,52.8,4.2,42.5,0.5,57.2,28.32,197409284096,0
1610736777.0010617,42.5,2.2,50.8,4.5,45.1,28.32,197749043200,0
1610736778.002272,35.6,1.5,59.4,3.5,37.2,28.32,198314225664,0
1610736779.0034223,20.7,0.9,72.6,5.800000000000001,22.0,30.46,198897049600,0
1610736780.0045903,14.1,0.9,79.8,5.3,14.9,30.46,199365713920,0
1610736781.005693,12.3,10.6,73.2,3.9000000000000004,23.1,30.46,198724702208,0
1610736782.0068216,15.7,9.3,75.0,0.1,25.0,30.46,198225555456,0
1610736783.0076559,82.6,5.9,11.3,0.1,88.7,30.46,197554507776,0
1610736784.0088034,88.5,4.0,7.5,0.0,92.5,33.55,197149425664,0
1610736785.009577,77.4,4.1,18.3,0.2,81.7,33.55,197114867712,0
1610736786.0108073,62.1,4.1,33.1,0.7,66.9,33.55,197020651520,0
1610736787.0120146,49.0,6.2,44.1,0.7,55.9,33.55,197362462720,0
1610736788.0128253,58.1,6.2,35.2,0.6,64.8,33.55,197399904256,0
1610736789.0136101,52.1,5.2,42.1,0.7,57.9,34.06,197406216192,0
1610736790.014828,56.3,3.6,39.6,0.4,60.4,34.06,197570732032,0
1610736791.016051,49.2,5.8,43.9,1.1,56.1,34.06,197591564288,0
1610736792.0172653,45.4,3.5,51.1,0.0,48.9,34.06,197522710528,0
1610736793.0185044,43.6,4.5,51.8,0.1,48.2,34.06,197770371072,0
1610736794.0197136,33.4,2.8,63.7,0.1,36.2,33.34,197949591552,0
1610736795.0209334,34.7,5.4,59.4,0.6,40.6,33.34,198380007424,0
1610736796.0221028,28.2,4.2,67.0,0.6,33.0,33.34,198193041408,0
1610736797.0232253,28.3,4.7,66.1,0.9,33.9,33.34,198415945728,0
1610736798.0243363,36.0,4.6,58.8,0.6,41.2,33.34,198318538752,0
1610736799.0253458,54.6,4.9,39.3,1.2,60.7,34.27,198423490560,0
1610736800.0264728,61.6,5.8,32.3,0.3,67.7,34.27,197747535872,0
1610736801.0273986,58.0,4.3,37.3,0.4,62.7,34.27,197349445632,0
1610736802.0285826,58.3,5.1,36.4,0.2,63.6,34.27,197186117632,0
1610736803.0297945,53.1,5.0,41.7,0.2,58.3,34.27,196993396736,0
1610736804.030613,47.9,5.3,46.5,0.3,53.6,34.73,197220462592,0
1610736805.0317967,55.1,5.5,39.3,0.1,60.6,34.73,197480550400,0
1610736806.032558,48.9,6.4,44.7,0.0,55.3,34.73,197634367488,0
1610736807.033698,55.3,4.9,39.6,0.2,60.4,34.73,197335977984,0
1610736808.0349076,64.1,5.1,30.4,0.3,69.6,34.73,197619003392,0
1610736809.036175,61.9,4.8,33.2,0.0,66.7,35.15,197388025856,0
1610736810.037333,50.8,5.2,43.9,0.1,56.1,35.15,197579112448,0
1610736811.0385826,64.4,3.5,32.1,0.0,68.0,35.15,197492760576,0
1610736812.0398135,50.8,1.9,46.9,0.4,52.9,35.15,197861670912,0
1610736813.0410728,41.6,1.7,56.3,0.4,43.7,35.15,197912678400,0
1610736814.04233,34.2,3.8,60.4,1.5,39.6,34.42,198270119936,0
1610736815.0436203,37.7,4.0,57.5,0.7,42.5,34.42,198142390272,0
1610736816.044861,38.4,3.6,57.1,0.8,42.9,34.42,198084001792,0
1610736817.0460978,48.5,4.1,46.4,0.9,53.6,34.42,197854842880,0
1610736818.0472755,53.2,3.1,43.6,0.2,56.4,34.42,197938876416,0
1610736819.0484877,53.2,4.1,42.4,0.4,57.6,34.71,197586468864,0
1610736820.0496826,40.4,4.1,54.7,0.8,45.3,34.71,197520281600,0
1610736821.0505004,49.7,4.6,44.6,1.1,55.5,34.71,197693816832,0
1610736822.0513327,48.5,4.3,46.9,0.2,53.0,34.71,198169432064,0
1610736823.0526235,48.9,4.7,46.0,0.4,54.0,34.71,197794521088,0
1610736824.0538118,46.5,4.1,49.1,0.3,50.9,34.33,197744312320,0
1610736825.0544996,37.6,3.8,58.2,0.4,41.9,34.33,197842657280,0
1610736826.055323,38.9,6.4,53.8,0.9,46.1,34.33,197912510464,0
1610736827.0564852,41.1,4.3,54.3,0.3,45.7,34.33,197888147456,0
1610736828.057597,44.2,2.4,53.3,0.1,46.7,34.33,198320926720,0
1610736829.058501,33.2,3.5,62.1,1.3,37.9,34.14,198164877312,0
1610736830.0592673,39.2,3.5,56.8,0.5,43.2,34.14,198429556736,0
1610736831.0601382,39.5,2.9,57.2,0.4,42.8,34.14,198329831424,0
1610736832.0609558,33.7,2.1,64.1,0.1,35.9,34.14,198200868864,0
1610736833.062034,26.7,6.7,65.5,1.0,34.5,34.14,198190084096,0
1610736834.0631154,46.6,6.0,47.3,0.1,52.7,34.61,197916360704,0
1610736835.0642457,55.3,4.7,39.1,0.9,60.9,34.61,197930323968,0
1610736836.0654101,58.7,3.7,36.2,1.5,63.8,34.61,197825957888,0
1610736837.0662334,56.1,3.7,39.6,0.7,60.4,34.61,197781102592,0
1610736838.067418,47.6,4.2,47.9,0.3,52.1,34.61,197910810624,0
1610736839.068492,43.2,5.1,50.5,1.2,49.5,34.88,198048104448,0
1610736840.0695255,51.9,4.3,43.6,0.2,56.4,34.88,198037618688,0
1610736841.070245,59.9,3.5,36.4,0.3,63.6,34.88,197916000256,0
1610736842.0711963,48.8,4.4,46.4,0.4,53.6,34.88,198022647808,0
1610736843.0722368,45.1,3.6,50.5,0.9,49.6,34.88,197954580480,0
