workloadID, workload argument, run, tFC, tVM
0,1000000,0,4210,285
0,1000000,1,4136,283
0,1000000,2,4084,283
0,1000000,3,4201,358
0,1000000,4,4235,359
0,1000000,5,4105,283
0,1000000,6,4105,283
0,1000000,7,4112,283
0,1000000,8,4104,282
0,1000000,9,4139,283
0,2500000,0,4934,1011
0,2500000,1,4901,1055
0,2500000,2,4829,1011
0,2500000,3,4970,1041
0,2500000,4,4840,1011
0,2500000,5,4858,1011
0,2500000,6,4848,1011
0,2500000,7,4872,1041
0,2500000,8,4880,1010
0,2500000,9,4828,1011
0,4000000,0,5787,1954
0,4000000,1,5885,1983
0,4000000,2,5807,1954
0,4000000,3,5972,1983
0,4000000,4,5912,1954
0,4000000,5,5799,1961
0,4000000,6,5872,1954
0,4000000,7,5890,1982
0,4000000,8,5820,1954
0,4000000,9,5795,1982
0,5500000,0,6967,3059
0,5500000,1,6919,3085
0,5500000,2,6878,3067
0,5500000,3,6864,3072
0,5500000,4,6923,3060
0,5500000,5,7008,3085
0,5500000,6,7044,3162
0,5500000,7,7017,3067
0,5500000,8,6863,3059
0,5500000,9,6960,3162
0,7000000,0,8127,4311
0,7000000,1,8192,4375
0,7000000,2,8232,4401
0,7000000,3,8228,4324
0,7000000,4,8231,4399
0,7000000,5,8255,4324
0,7000000,6,8327,4406
0,7000000,7,8231,4311
0,7000000,8,8253,4323
0,7000000,9,8328,4400
0,8500000,0,9483,5660
0,8500000,1,9500,5667
0,8500000,2,9562,5684
0,8500000,3,9576,5666
0,8500000,4,9543,5681
0,8500000,5,9739,5753
0,8500000,6,9520,5701
0,8500000,7,9559,5684
0,8500000,8,9544,5666
0,8500000,9,9539,5684
1,4096,0,38030,34064
1,4096,1,37730,33798
1,4096,2,37591,33774
1,4096,3,37855,34007
1,4096,4,37855,33941
1,4096,5,37768,33855
1,4096,6,37852,33954
1,4096,7,37791,33899
1,4096,8,38026,34080
1,4096,9,37807,33903
1,2048,0,20814,16924
1,2048,1,20790,16913
1,2048,2,20839,16916
1,2048,3,20871,16951
1,2048,4,20960,16969
1,2048,5,20868,16919
1,2048,6,20849,16928
1,2048,7,20866,16943
1,2048,8,20913,16979
1,2048,9,20911,16921
1,1024,0,12328,8478
1,1024,1,12425,8481
1,1024,2,12340,8460
1,1024,3,12387,8491
1,1024,4,12486,8524
1,1024,5,12474,8487
1,1024,6,12487,8571
1,1024,7,12518,8554
1,1024,8,12558,8546
1,1024,9,12365,8476
1,512,0,8146,4280
1,512,1,8124,4274
1,512,2,8195,4274
1,512,3,8236,4295
1,512,4,8136,4299
1,512,5,8098,4279
1,512,6,8235,4332
1,512,7,8230,4287
1,512,8,8095,4274
1,512,9,8217,4280
1,256,0,6052,2199
1,256,1,6152,2174
1,256,2,6040,2192
1,256,3,6159,2165
1,256,4,6144,2207
1,256,5,6192,2191
1,256,6,6132,2183
1,256,7,6093,2184
1,256,8,6117,2199
1,256,9,6104,2184
1,128,0,5084,1156
1,128,1,4971,1131
1,128,2,5116,1140
1,128,3,5108,1146
1,128,4,4983,1135
1,128,5,5143,1151
1,128,6,5047,1143
1,128,7,5072,1231
1,128,8,5016,1142
1,128,9,4987,1144
1,10,0,3986,89
1,10,1,3956,90
1,10,2,4010,89
1,10,3,3883,91
1,10,4,3955,89
1,10,5,3961,90
1,10,6,3979,89
1,10,7,3981,90
1,10,8,3971,89
1,10,9,3976,89
1,1,0,3911,12
1,1,1,3859,12
1,1,2,3852,12
1,1,3,3844,12
1,1,4,3876,12
1,1,5,3935,12
1,1,6,3887,12
1,1,7,3873,12
1,1,8,3837,12
1,1,9,3880,12
2,10,0,4380,519
2,10,1,4459,504
2,10,2,4389,516
2,10,3,4502,504
2,10,4,4520,516
2,10,5,4391,512
2,10,6,4469,505
2,10,7,4365,504
2,10,8,4352,502
2,10,9,4559,514
2,20,0,4742,844
2,20,1,4708,824
2,20,2,4728,825
2,20,3,4642,820
2,20,4,4730,840
2,20,5,4740,837
2,20,6,4796,821
2,20,7,4767,859
2,20,8,4740,824
2,20,9,4708,844
2,40,0,5327,1464
2,40,1,5421,1501
2,40,2,5460,1479
2,40,3,5373,1478
2,40,4,5352,1496
2,40,5,5414,1461
2,40,6,5304,1481
2,40,7,5347,1491
2,40,8,5359,1476
2,40,9,5481,1485
2,80,0,6647,2791
2,80,1,6742,2825
2,80,2,6670,2758
2,80,3,6600,2742
2,80,4,6713,2765
2,80,5,6632,2754
2,80,6,6635,2775
2,80,7,6691,2755
2,80,8,6712,2741
2,80,9,6625,2767
2,160,0,9167,5316
2,160,1,9227,5304
2,160,2,9110,5304
2,160,3,9224,5324
2,160,4,9260,5339
2,160,5,9188,5299
2,160,6,9219,5310
2,160,7,9296,5359
2,160,8,9187,5320
2,160,9,9171,5277
2,320,0,14351,10397
2,320,1,14394,10458
2,320,2,14478,10517
2,320,3,14427,10495
2,320,4,14393,10453
2,320,5,14507,10490
2,320,6,14352,10419
2,320,7,14299,10464
2,320,8,14342,10469
2,320,9,14346,10463
