workloadID, workload argument, tFC, tVM, start time
1,128,5068,1159,1601373577
0,4000000,5952,1959,1601373577
1,1,3758,13,1601373580
2,160,9423,5484,1601373579
1,1,3945,15,1601373585
0,4000000,5903,1969,1601373584
0,5500000,7299,3096,1601373584
0,5500000,6986,3078,1601373585
0,7000000,8244,4349,1601373585
0,4000000,6057,1989,1601373592
1,256,7089,2776,1601373592
2,320,16420,12274,1601373584
0,2500000,7200,1019,1601373594
0,7000000,8559,4362,1601373592
0,1000000,7058,285,1601373596
0,8500000,9842,5700,1601373594
2,320,16581,12755,1601373588
0,2500000,5047,1018,1601373601
0,5500000,7425,3099,1601373600
1,1,3912,16,1601373604
1,128,5358,1297,1601373603
2,320,17381,12845,1601373593
2,160,10364,6284,1601373601
0,4000000,6425,1971,1601373605
0,2500000,4998,1016,1601373607
2,40,5811,1737,1601373608
1,1024,18682,14040,1601373595
2,10,5376,599,1601373609
2,10,4738,644,1601373611
0,4000000,6001,1965,1601373611
1,10,4486,98,1601373615
2,320,15663,11711,1601373606
2,80,7858,3522,1601373616
0,7000000,8248,4356,1601373617
2,160,10407,6237,1601373616
1,512,11709,6576,1601373614
0,8500000,9534,5684,1601373617
1,4096,45435,41498,1601373581
1,4096,49259,45438,1601373578
0,5500000,7790,3125,1601373619
1,128,5071,1153,1601373623
0,1000000,4147,283,1601373628
0,4000000,5870,1979,1601373626
0,1000000,4108,283,1601373628
1,2048,28215,24185,1601373606
2,10,4321,503,1601373632
2,10,4473,507,1601373636
1,2048,28123,23509,1601373614
1,512,8356,4392,1601373633
1,512,8339,4444,1601373635
2,80,6730,2762,1601373637
1,512,8320,4440,1601373638
1,1024,12686,8494,1601373640
0,7000000,8203,4315,1601373646
1,512,8485,4530,1601373647
1,256,6299,2354,1601373651
0,1000000,4278,287,1601373653
2,80,7987,3899,1601373654
1,1,3960,14,1601373661
2,320,16506,12585,1601373649
2,320,16590,12605,1601373649
1,256,6066,2202,1601373664
0,7000000,8221,4313,1601373663
1,128,5035,1152,1601373668
0,5500000,6954,3062,1601373668
1,256,6263,2230,1601373673
1,512,8288,4372,1601373674
0,4000000,5764,1958,1601373680
0,1000000,4145,283,1601373682
0,5500000,6886,3074,1601373681
2,10,4429,505,1601373686
2,10,4455,506,1601373687
0,7000000,8258,4389,1601373685
1,4096,38545,34525,1601373657
2,20,4791,826,1601373692
0,2500000,5108,1083,1601373694
1,512,8909,4388,1601373692
0,7000000,8275,4341,1601373695
1,1,3981,14,1601373700
0,4000000,6028,1979,1601373698
2,80,8127,3265,1601373698
0,5500000,7455,3203,1601373701
1,512,13225,9114,1601373695
2,10,6799,1607,1601373702
0,4000000,6493,2046,1601373703
2,20,8904,1210,1601373702
2,320,16377,12469,1601373696
0,4000000,6615,2082,1601373706
1,4096,42130,38166,1601373671
1,128,6434,1620,1601373707
1,128,6117,1287,1601373708
0,8500000,11744,5791,1601373703
1,1,3949,17,1601373711
0,1000000,4204,284,1601373712
1,512,13703,6445,1601373703
2,320,16373,12432,1601373701
0,7000000,10934,4414,1601373707
0,2500000,4831,1012,1601373713
1,1,3928,13,1601373717
1,2048,23160,18869,1601373701
2,10,4414,506,1601373721
1,128,5234,1167,1601373721
0,5500000,7007,3141,1601373721
0,2500000,5086,1013,1601373724
0,7000000,8108,4314,1601373722
0,5500000,6938,3067,1601373724
0,1000000,4206,288,1601373727
0,4000000,5810,1966,1601373726
0,7000000,8161,4315,1601373724
0,2500000,5154,1065,1601373732
1,512,8833,4840,1601373730
1,1024,14268,9312,1601373727
2,320,16092,11204,1601373727
1,4096,45797,41780,1601373697
2,160,9929,5958,1601373735
1,512,8797,4635,1601373738
0,1000000,4144,363,1601373743
0,8500000,9831,5726,1601373738
0,4000000,6073,1972,1601373743
0,2500000,4823,1019,1601373746
0,5500000,6935,3100,1601373744
2,10,4411,590,1601373746
2,40,5733,1680,1601373746
2,40,5628,1677,1601373747
1,2048,23684,19479,1601373733
1,128,5685,1290,1601373753
0,8500000,9546,5699,1601373750
2,160,9850,5834,1601373751
2,40,6022,1869,1601373755
2,40,5662,1838,1601373756
1,2048,25804,21333,1601373737
0,7000000,8656,4417,1601373755
1,4096,47752,43610,1601373718
0,4000000,7347,1964,1601373759
1,512,11397,7490,1601373756
0,2500000,5009,1095,1601373763
0,5500000,7102,3087,1601373763
2,160,10018,5392,1601373760
1,256,6369,2246,1601373766
0,8500000,9472,5685,1601373765
0,8500000,9597,5712,1601373765
0,5500000,7040,3072,1601373768
1,128,5446,1204,1601373770
1,128,5149,1280,1601373771
1,1024,14212,9978,1601373763
2,80,7666,3367,1601373771
0,5500000,7443,3106,1601373773
1,128,6331,1515,1601373776
1,1,6227,15,1601373777
2,80,9076,4325,1601373775
0,7000000,9560,4542,1601373775
0,4000000,8095,2120,1601373777
2,40,10381,2306,1601373776
0,5500000,10059,3209,1601373778
1,4096,51209,45835,1601373737
2,80,14443,4307,1601373778
0,5500000,10002,3189,1601373783
2,320,20951,15251,1601373772
1,256,11276,4673,1601373782
1,1,4008,13,1601373789
2,320,19323,15284,1601373774
2,80,8178,3156,1601373786
1,10,3929,91,1601373791
0,8500000,10533,5857,1601373784
1,1024,17476,12427,1601373780
1,1,4909,52,1601373795
1,1024,20306,15975,1601373779
1,10,5398,95,1601373795
1,256,6785,2820,1601373794
0,8500000,13868,5806,1601373788
2,10,4949,593,1601373799
1,512,9487,5252,1601373794
0,4000000,6769,2056,1601373799
2,10,5397,585,1601373802
1,128,5813,1562,1601373803
0,8500000,9823,5853,1601373799
1,2048,26764,21628,1601373782
1,10,6784,98,1601373804
1,512,13992,7718,1601373797
2,320,16927,11275,1601373794
1,512,10911,5453,1601373800
1,1024,14392,10340,1601373798
2,160,10878,5689,1601373802
0,7000000,8149,4347,1601373806
1,10,4044,91,1601373811
1,4096,48166,44267,1601373767
0,5500000,7177,3139,1601373809
2,20,4800,834,1601373814
0,7000000,8261,4397,1601373811
0,4000000,5871,1990,1601373814
1,512,8239,4379,1601373812
0,8500000,9921,5731,1601373815
0,5500000,7093,3117,1601373819
0,8500000,9770,5760,1601373817
1,1,4079,13,1601373823
0,8500000,9714,5729,1601373820
1,1024,13372,9493,1601373817
1,2048,22116,18074,1601373809
2,320,15147,11202,1601373817
2,160,9833,5904,1601373823
0,8500000,9535,5712,1601373829
2,10,4665,660,1601373835
1,2048,24246,19987,1601373816
1,256,6331,2311,1601373834
2,10,4774,689,1601373838
0,4000000,5990,1985,1601373837
0,5500000,7183,3102,1601373839
2,320,16012,12076,1601373832
1,256,6547,2401,1601373843
1,1024,13540,9572,1601373836
0,1000000,4240,326,1601373846
2,320,16246,12331,1601373835
0,7000000,8427,4398,1601373845
1,10,4033,101,1601373851
2,20,5389,1246,1601373850
2,80,7516,3595,1601373848
1,2048,22440,18481,1601373834
2,20,5205,1124,1601373851
0,8500000,9609,5722,1601373847
2,320,16724,12853,1601373844
1,512,9233,4518,1601373852
0,4000000,5945,1975,1601373855
1,512,8422,4460,1601373853
0,4000000,6038,1964,1601373856
1,2048,22700,18639,1601373840
0,5500000,7335,3136,1601373856
2,10,4478,563,1601373860
2,80,6690,2821,1601373860
0,2500000,4945,1016,1601373861
0,2500000,4900,1018,1601373862
0,2500000,4826,1011,1601373865
0,4000000,5859,1956,1601373864
2,20,4653,832,1601373866
0,1000000,4084,282,1601373870
0,5500000,6882,3084,1601373867
2,10,4479,504,1601373870
