workloadID, workload argument, tFC, tVM, start time
1,1,3869,13,1602190111
1,10,3919,91,1602190114
1,512,8306,4379,1602190110
1,256,6266,2277,1602190112
1,512,8254,4393,1602190111
1,128,5114,1156,1602190115
1,512,8205,4323,1602190113
1,256,6327,2369,1602190116
1,10,4054,90,1602190119
1,128,5098,1171,1602190118
1,10,3892,91,1602190119
1,1,3959,12,1602190122
1,1,4274,13,1602190128
1,1024,13694,9344,1602190119
1,1024,13682,9455,1602190119
1,10,4360,107,1602190129
1,512,13545,9196,1602190124
1,10,4101,158,1602190134
1,1,4118,29,1602190135
1,256,11933,5622,1602190128
1,128,10083,1877,1602190137
1,10,12420,93,1602190137
1,1,8840,20,1602190141
1,2048,35943,29584,1602190116
1,1,9697,204,1602190144
1,10,12168,259,1602190144
1,10,12799,990,1602190145
1,128,13937,2203,1602190145
1,512,22365,14234,1602190136
1,128,13364,2076,1602190147
1,256,15089,8083,1602190147
1,512,27015,20141,1602190136
1,1,12313,20,1602190152
1,128,16225,2797,1602190148
1,128,13947,4754,1602190152
1,256,22500,7889,1602190144
1,1024,32063,26603,1602190136
1,512,30127,17631,1602190138
1,256,24197,9467,1602190145
1,10,15477,309,1602190155
1,10,17614,385,1602190156
1,2048,55518,50105,1602190120
1,1,16316,287,1602190161
1,1,14842,13,1602190164
1,10,19418,2131,1602190160
1,1,21219,20,1602190159
1,10,14801,102,1602190168
1,1,15157,164,1602190168
1,1,11346,314,1602190172
1,1024,41940,33349,1602190145
1,1,21265,30,1602190166
1,512,40742,23724,1602190147
1,512,40060,23493,1602190150
1,512,31201,23173,1602190160
1,1024,53651,40459,1602190142
1,256,28258,8899,1602190170
1,1,21925,209,1602190180
1,128,26200,5853,1602190176
1,128,23758,3348,1602190178
1,10,22664,904,1602190180
1,2048,78749,70155,1602190126
1,10,27736,1653,1602190180
1,128,25815,3845,1602190184
1,128,26312,4550,1602190185
1,512,52301,31928,1602190160
1,512,50327,30292,1602190168
1,256,41570,20194,1602190179
1,1024,60283,46363,1602190161
1,2048,91445,85433,1602190130
1,1,30434,790,1602190193
1,128,33569,5126,1602190192
1,128,39538,14201,1602190187
1,10,28437,3199,1602190200
1,256,43789,20246,1602190186
1,128,39542,5960,1602190192
1,1,37137,981,1602190196
1,1024,88184,63475,1602190148
1,128,35176,5562,1602190202
1,1,28532,1558,1602190213
1,10,18135,178,1602190224
1,1,26987,2897,1602190216
1,512,66721,44060,1602190176
1,2048,109229,99138,1602190135
1,128,40170,8325,1602190206
1,1,35817,696,1602190212
1,1,27791,1593,1602190221
1,1,42519,4564,1602190207
1,1024,95509,74013,1602190154
1,10,32351,775,1602190217
1,128,26882,8770,1602190226
1,128,58387,17624,1602190197
1,10,33887,0,1602190223
1,256,27200,10419,1602190233
1,128,34973,3393,1602190225
1,256,46342,20393,1602190216
1,1,36333,374,1602190226
1,1,37611,271,1602190226
1,512,75010,48180,1602190189
1,256,62113,28706,1602190202
1,10,29881,1656,1602190235
1,128,26472,5843,1602190239
1,128,43440,11005,1602190222
1,1024,88656,65058,1602190179
1,512,73702,47413,1602190196
1,128,40901,11473,1602190231
1,2048,137162,129599,1602190136
1,10,23686,294,1602190250
1,512,72239,34290,1602190202
1,1,23049,157,1602190251
1,10,27601,131,1602190246
1,256,62938,31803,1602190211
1,2048,134601,119094,1602190143
1,256,17144,0,1602190261
1,1024,112013,86220,1602190170
1,1,31161,682,1602190253
1,128,36319,13484,1602190248
1,512,73587,46158,1602190212
1,1,24164,129,1602190264
1,10,30717,95,1602190257
1,512,87106,62904,1602190202
1,512,98605,64409,1602190191
1,10,39378,971,1602190251
1,256,59411,24596,1602190233
1,128,51829,8566,1602190241
1,10,32734,950,1602190262
1,128,27827,9557,1602190270
1,256,43733,14317,1602190254
1,128,28331,10365,1602190270
1,10,35725,96,1602190265
1,1,49153,2874,1602190252
1,1,31360,4886,1602190270
1,512,79037,52663,1602190224
1,128,35982,4042,1602190268
1,128,36042,5633,1602190268
1,128,59088,4274,1602190245
1,128,42227,11100,1602190263
1,10,42052,1695,1602190264
1,256,59900,23541,1602190247
1,10,41618,959,1602190266
1,256,52548,25525,1602190256
1,512,83134,46089,1602190226
1,256,50199,25551,1602190263
1,128,54336,10511,1602190259
1,10,40694,332,1602190273
1,10,45085,392,1602190268
1,1,51045,1906,1602190264
1,2048,158308,143622,1602190157
1,256,56456,23887,1602190261
1,512,102671,52140,1602190216
1,128,48036,18128,1602190275
1,256,53014,20173,1602190272
1,512,86154,61840,1602190243
1,256,65370,23587,1602190264
1,1,29973,15,1602190300
1,1,33176,1309,1602190297
1,10,46114,226,1602190286
1,512,105576,49970,1602190228
1,256,56629,27794,1602190279
1,128,50715,15178,1602190285
1,128,37445,5625,1602190299
1,256,82288,30762,1602190257
1,1,36979,1771,1602190302
1,10,27101,1929,1602190312
1,1,37133,92,1602190306
1,2048,187893,171251,1602190156
1,4096,225722,218206,1602190119
1,1024,110848,92183,1602190234
1,256,64779,19307,1602190282
1,2048,191017,169368,1602190156
1,10,33475,104,1602190314
1,512,98708,65425,1602190253
1,256,80221,38654,1602190273
1,10,57537,2336,1602190297
1,256,72963,34813,1602190284
1,128,57934,8359,1602190302
1,1,55042,2356,1602190312
