workloadID, workload argument, run, tFC, tVM
0,1000000,0,4225,313
0,1000000,1,4198,283
0,1000000,2,4149,283
0,1000000,3,4236,282
0,1000000,4,4168,282
0,1000000,5,4180,282
0,1000000,6,4156,282
0,1000000,7,4119,283
0,1000000,8,4091,282
0,1000000,9,4119,283
0,2500000,0,4919,1011
0,2500000,1,4888,1010
0,2500000,2,4968,1085
0,2500000,3,4856,1010
0,2500000,4,4874,1011
0,2500000,5,4860,1010
0,2500000,6,4935,1085
0,2500000,7,4951,1010
0,2500000,8,4984,1011
0,2500000,9,4967,1011
0,4000000,0,5939,2028
0,4000000,1,5789,1954
0,4000000,2,5915,2028
0,4000000,3,5792,1954
0,4000000,4,5922,2028
0,4000000,5,5767,1953
0,4000000,6,5937,2027
0,4000000,7,5774,1953
0,4000000,8,5936,2027
0,4000000,9,5870,1953
0,5500000,0,6903,3072
0,5500000,1,6932,3115
0,5500000,2,6983,3133
0,5500000,3,7066,3132
0,5500000,4,6988,3132
0,5500000,5,6983,3084
0,5500000,6,7007,3132
0,5500000,7,7054,3132
0,5500000,8,6990,3131
0,5500000,9,7059,3131
0,7000000,0,8292,4310
0,7000000,1,8148,4320
0,7000000,2,8351,4370
0,7000000,3,8280,4370
0,7000000,4,8183,4310
0,7000000,5,8271,4369
0,7000000,6,8240,4370
0,7000000,7,8339,4419
0,7000000,8,8320,4445
0,7000000,9,8178,4369
0,8500000,0,9652,5810
0,8500000,1,9608,5723
0,8500000,2,9655,5732
0,8500000,3,9624,5756
0,8500000,4,9492,5656
0,8500000,5,9581,5747
0,8500000,6,9502,5663
0,8500000,7,9500,5663
0,8500000,8,9718,5808
0,8500000,9,9478,5656
1,4096,0,37982,34105
1,4096,1,37970,33991
1,4096,2,37781,33887
1,4096,3,37974,34031
1,4096,4,37999,34053
1,4096,5,38007,33996
1,4096,6,37744,33856
1,4096,7,37996,34024
1,4096,8,37768,33884
1,4096,9,38048,34108
1,2048,0,20883,17013
1,2048,1,21032,16985
1,2048,2,20927,16983
1,2048,3,21002,16946
1,2048,4,20758,16936
1,2048,5,20943,17034
1,2048,6,20944,16933
1,2048,7,20809,16952
1,2048,8,21103,17122
1,2048,9,20913,17006
1,1024,0,12537,8488
1,1024,1,12572,8584
1,1024,2,12467,8518
1,1024,3,12431,8499
1,1024,4,12385,8515
1,1024,5,12478,8504
1,1024,6,12641,8665
1,1024,7,12573,8643
1,1024,8,12563,8548
1,1024,9,12393,8522
1,512,0,8261,4280
1,512,1,8264,4322
1,512,2,8326,4335
1,512,3,8127,4283
1,512,4,8112,4286
1,512,5,8222,4322
1,512,6,8228,4314
1,512,7,8297,4324
1,512,8,8159,4294
1,512,9,8255,4342
1,256,0,6239,2242
1,256,1,6192,2300
1,256,2,6165,2190
1,256,3,6282,2310
1,256,4,6213,2192
1,256,5,6192,2245
1,256,6,6142,2179
1,256,7,6139,2195
1,256,8,6193,2188
1,256,9,6129,2213
1,128,0,5056,1141
1,128,1,5085,1140
1,128,2,5164,1184
1,128,3,5057,1138
1,128,4,5105,1138
1,128,5,5229,1261
1,128,6,5111,1137
1,128,7,5011,1142
1,128,8,5074,1141
1,128,9,5161,1195
1,10,0,3981,91
1,10,1,3975,91
1,10,2,3975,90
1,10,3,3988,91
1,10,4,3967,89
1,10,5,3972,89
1,10,6,4069,91
1,10,7,4018,89
1,10,8,3985,89
1,10,9,4012,89
1,1,0,3983,12
1,1,1,3863,12
1,1,2,3843,12
1,1,3,3903,12
1,1,4,3845,12
1,1,5,3821,12
1,1,6,3852,12
1,1,7,3867,12
1,1,8,3844,12
1,1,9,3792,13
2,10,0,4456,500
2,10,1,4461,497
2,10,2,4401,496
2,10,3,4612,498
2,10,4,4363,515
2,10,5,4360,512
2,10,6,4428,512
2,10,7,4479,511
2,10,8,4568,602
2,10,9,4397,512
2,20,0,4775,815
2,20,1,4768,827
2,20,2,4804,836
2,20,3,4784,826
2,20,4,4769,881
2,20,5,4731,839
2,20,6,4687,833
2,20,7,4767,813
2,20,8,4792,838
2,20,9,4661,840
2,40,0,5402,1474
2,40,1,5374,1452
2,40,2,5447,1531
2,40,3,5322,1473
2,40,4,5501,1454
2,40,5,5414,1501
2,40,6,5339,1454
2,40,7,5353,1450
2,40,8,5424,1520
2,40,9,5412,1454
2,80,0,6719,2818
2,80,1,6672,2742
2,80,2,6648,2730
2,80,3,6697,2764
2,80,4,6821,2772
2,80,5,6607,2720
2,80,6,6672,2796
2,80,7,6772,2828
2,80,8,6641,2747
2,80,9,6613,2748
2,160,0,9261,5294
2,160,1,9301,5366
2,160,2,9286,5309
2,160,3,9248,5335
2,160,4,9280,5344
2,160,5,9184,5318
2,160,6,9223,5307
2,160,7,9231,5313
2,160,8,9283,5365
2,160,9,9247,5313
2,320,0,14272,10421
2,320,1,14301,10394
2,320,2,14291,10431
2,320,3,14332,10405
2,320,4,14431,10480
2,320,5,14301,10414
2,320,6,14356,10431
2,320,7,14344,10431
2,320,8,14308,10400
2,320,9,14328,10454
