workloadID, workload argument, tFC, tVM, start time
2,10,4410,519,1605112689
2,10,4440,509,1605112689
2,40,6364,2398,1605112694
2,40,6424,2398,1605112695
2,10,4750,683,1605112697
2,160,11579,7577,1605112694
2,20,5318,1138,1605112701
2,20,6714,2277,1605112704
2,160,14811,9668,1605112698
2,80,10859,6316,1605112702
2,320,23404,16849,1605112692
2,80,12533,7818,1605112705
2,80,12717,7831,1605112705
2,40,9594,4292,1605112708
2,10,8685,1088,1605112712
2,80,12657,6804,1605112711
2,10,6014,1130,1605112718
2,160,21260,14379,1605112708
2,20,10013,2440,1605112720
2,20,22286,2438,1605112721
2,320,40591,29554,1605112703
2,320,41551,30422,1605112704
2,160,26167,18396,1605112722
2,40,22864,5668,1605112725
2,320,43823,32048,1605112705
2,160,32717,17941,1605112722
2,320,38910,33335,1605112717
2,320,44211,33728,1605112719
2,40,26720,6214,1605112736
2,40,33338,5987,1605112734
2,160,39926,17655,1605112729
2,160,34447,17422,1605112734
2,320,51152,33325,1605112722
2,80,41643,8006,1605112731
2,320,51720,34488,1605112722
2,20,24597,2425,1605112752
2,20,22362,2585,1605112759
2,80,24161,8584,1605112758
2,20,26275,2553,1605112757
2,320,58969,38002,1605112726
2,20,32712,4909,1605112753
2,10,43706,1511,1605112743
2,40,29036,4857,1605112758
2,160,41566,15776,1605112747
2,20,35253,2550,1605112754
2,160,52924,18073,1605112737
2,320,45322,31887,1605112745
2,40,26363,4604,1605112767
2,320,52598,32078,1605112740
2,40,26901,4649,1605112766
2,40,23693,4020,1605112770
2,40,32241,4076,1605112769
2,20,34766,2217,1605112767
2,10,26968,1707,1605112775
2,160,40582,17918,1605112761
2,80,21952,8190,1605112781
2,20,24834,2808,1605112778
2,80,26784,8199,1605112777
2,20,27227,2386,1605112777
2,160,43649,15690,1605112761
2,10,18228,1494,1605112788
2,40,20252,4188,1605112787
2,10,25072,1383,1605112787
2,160,36907,16230,1605112779
2,10,22755,1440,1605112793
2,160,30998,16856,1605112786
2,10,29740,1903,1605112787
2,320,64220,31373,1605112756
2,80,35657,10695,1605112785
2,20,18940,2859,1605112802
