workloadID, workload argument, tFC, tVM, start time
2,10,4524,590,1605030850
2,20,4828,924,1605030850
1,512,8346,4331,1605030849
0,4000000,5773,1960,1605030852
0,1000000,4347,344,1605030855
2,40,6333,2378,1605030854
2,40,6343,2399,1605030854
2,40,6203,2252,1605030855
0,2500000,5232,1041,1605030856
2,10,5896,553,1605030856
0,7000000,8833,4410,1605030855
0,8500000,10397,5733,1605030855
0,7000000,9023,4368,1605030856
2,10,4791,692,1605030862
0,4000000,6349,2055,1605030862
2,10,4911,838,1605030864
2,320,17237,13345,1605030853
1,512,9167,5031,1605030862
1,10,5904,134,1605030869
2,160,11823,7284,1605030863
0,7000000,8848,4474,1605030868
0,5500000,7209,3220,1605030869
2,320,17459,13471,1605030859
1,10,8931,96,1605030868
2,80,7582,3420,1605030869
0,8500000,10583,6067,1605030866
0,8500000,10131,5840,1605030869
1,1,5956,15,1605030874
1,512,13902,9586,1605030866
0,4000000,7171,2003,1605030874
0,7000000,9596,4393,1605030872
0,2500000,10450,1042,1605030872
2,80,8374,3203,1605030875
2,160,12163,5875,1605030872
0,4000000,6005,2007,1605030880
1,2048,28083,24154,1605030859
1,2048,26942,22111,1605030864
0,5500000,6943,3093,1605030885
1,256,6210,2323,1605030886
1,1,3950,13,1605030888
0,7000000,8315,4348,1605030885
1,10,4286,143,1605030889
0,1000000,4267,289,1605030889
2,320,14832,10873,1605030880
0,4000000,6260,1967,1605030889
0,4000000,9185,2029,1605030890
1,10,9550,148,1605030892
0,4000000,10218,1991,1605030892
1,128,11000,2299,1605030891
0,2500000,9229,1095,1605030894
2,40,10796,3099,1605030893
0,8500000,11987,6140,1605030893
2,40,11985,3506,1605030893
2,40,9525,3564,1605030896
2,160,15623,9780,1605030892
1,512,16679,12011,1605030891
2,20,12003,1604,1605030896
0,1000000,9502,363,1605030902
2,10,12001,1128,1605030899
0,1000000,9024,567,1605030904
2,320,23996,17419,1605030889
2,80,17147,5384,1605030896
0,5500000,16103,3811,1605030899
2,20,12915,1604,1605030902
0,5500000,15420,3853,1605030900
1,1,14446,77,1605030901
0,8500000,20994,6376,1605030895
2,320,23552,19267,1605030893
1,10,10108,103,1605030909
2,160,15273,8406,1605030904
0,4000000,18749,3533,1605030900
2,160,21919,9697,1605030899
0,4000000,14121,3252,1605030907
0,7000000,15134,4700,1605030906
0,4000000,12556,2058,1605030909
2,10,12146,837,1605030910
1,1024,34105,27524,1605030890
2,160,20110,7269,1605030904
2,40,19228,2581,1605030906
0,8500000,19754,5990,1605030905
2,40,17211,2903,1605030909
2,160,18226,7395,1605030908
1,10,14846,139,1605030913
0,8500000,20336,6070,1605030908
1,512,21916,12577,1605030906
0,1000000,16410,367,1605030912
2,80,17361,3203,1605030911
0,2500000,8636,1062,1605030921
0,1000000,13189,380,1605030917
0,8500000,16834,7260,1605030913
0,8500000,10902,6174,1605030919
1,256,17419,6495,1605030914
0,2500000,9640,1454,1605030923
1,128,13815,3349,1605030921
1,128,12614,2222,1605030923
1,10,10867,210,1605030925
2,160,15342,6800,1605030922
0,2500000,13371,1830,1605030926
2,20,11706,1436,1605030929
0,4000000,12234,2176,1605030928
1,512,20988,12406,1605030922
