workloadID, workload argument, tFC, tVM, start time
0,2500000,5384,1666,1602956195
0,1000000,4177,451,1602956200
0,5500000,8905,5161,1602956200
0,4000000,7002,3258,1602956203
0,4000000,6978,3262,1602956203
0,5500000,8907,5164,1602956203
0,7000000,11048,7292,1602956201
0,4000000,7003,3260,1602956207
0,7000000,11040,7298,1602956204
0,1000000,4173,451,1602956211
0,8500000,22732,19022,1602956193
0,2500000,5414,1667,1602956211
0,2500000,5418,1667,1602956212
0,8500000,13345,9622,1602956206
0,5500000,8916,5162,1602956215
0,7000000,11028,7288,1602956215
0,8500000,13358,9615,1602956214
0,8500000,13326,9614,1602956215
0,8500000,22844,19084,1602956210
0,5500000,8872,5161,1602956228
0,1000000,4315,565,1602956232
0,5500000,8879,5165,1602956228
0,5500000,8914,5164,1602956228
0,4000000,7004,3256,1602956232
0,5500000,8789,5164,1602956230
0,7000000,11036,7290,1602956229
0,2500000,5414,1665,1602956235
0,5500000,8887,5161,1602956232
0,2500000,5269,1672,1602956240
0,2500000,5401,1672,1602956240
0,2500000,5386,1671,1602956240
0,1000000,4199,453,1602956243
0,5500000,8914,5171,1602956239
0,7000000,11032,7305,1602956237
0,1000000,4203,452,1602956246
0,2500000,5421,1668,1602956245
0,8500000,13344,9630,1602956238
0,4000000,7005,3260,1602956245
0,8500000,13361,9623,1602956242
0,8500000,13378,9624,1602956242
0,4000000,6976,3256,1602956250
0,8500000,13372,9619,1602956244
0,5500000,8874,5160,1602956250
0,2500000,5417,1666,1602956253
0,7000000,11034,7290,1602956254
0,2500000,5415,1667,1602956264
0,4000000,6997,3256,1602956263
0,8500000,13325,9609,1602956257
0,1000000,4162,452,1602956269
0,5500000,8878,5159,1602956268
0,1000000,4195,451,1602956273
0,5500000,8876,5163,1602956272
0,4000000,6963,3255,1602956274
0,5500000,8786,5163,1602956273
0,4000000,6993,3255,1602956275
0,4000000,7004,3258,1602956279
0,4000000,7003,3256,1602956283
0,8500000,13193,9618,1602956277
0,5500000,8905,5159,1602956285
0,5500000,8921,5159,1602956286
0,5500000,8907,5160,1602956287
0,5500000,8908,5160,1602956288
0,5500000,8909,5162,1602956289
0,5500000,8912,5162,1602956289
0,2500000,5413,1669,1602956293
0,1000000,4206,453,1602956299
0,1000000,4169,452,1602956301
0,7000000,11052,7300,1602956295
0,8500000,13379,9628,1602956294
0,1000000,4166,451,1602956303
0,7000000,11045,7298,1602956296
0,8500000,13366,9620,1602956295
0,2500000,5315,1666,1602956304
0,5500000,8910,5166,1602956300
0,8500000,13359,9621,1602956300
0,2500000,5420,1670,1602956312
0,7000000,11044,7291,1602956307
0,2500000,5417,1670,1602956314
0,1000000,4199,454,1602956316
0,7000000,11046,7301,1602956310
0,1000000,4196,452,1602956318
0,5500000,8910,5166,1602956315
0,4000000,7005,3258,1602956317
0,5500000,8915,5164,1602956316
0,7000000,11041,7295,1602956315
0,1000000,4163,454,1602956322
0,8500000,13378,9624,1602956313
0,8500000,13373,9622,1602956317
0,4000000,6978,3258,1602956324
0,2500000,5415,1666,1602956327
0,5500000,8911,5162,1602956324
