workloadID, workload argument, tFC, tVM, start time
1,1,3770,42,1602693898
1,128,7103,3359,1602693896
0,4000000,8116,4388,1602693895
2,160,6962,3219,1602693898
1,1,3763,42,1602693904
0,4000000,7060,3280,1602693902
2,320,9012,5293,1602693903
0,5500000,8938,5196,1602693903
0,5500000,8945,5187,1602693904
0,7000000,11118,7338,1602693903
2,320,8981,5243,1602693907
0,2500000,5426,1668,1602693912
0,4000000,7299,3489,1602693910
0,1000000,4207,453,1602693915
2,320,9011,5235,1602693912
0,7000000,11048,7301,1602693911
0,2500000,5413,1667,1602693920
2,160,6284,2673,1602693919
1,1,3826,80,1602693922
0,8500000,13382,9622,1602693913
1,256,16023,12203,1602693911
0,5500000,8918,5174,1602693919
0,4000000,7026,3269,1602693923
2,40,4578,786,1602693926
0,2500000,5452,1670,1602693926
2,10,4046,274,1602693928
2,10,4129,327,1602693929
1,128,11693,7906,1602693922
2,320,8998,5262,1602693925
0,4000000,7011,3262,1602693929
1,10,4642,895,1602693934
2,80,5616,1812,1602693935
2,160,6833,3057,1602693934
0,7000000,11032,7292,1602693935
0,5500000,8902,5158,1602693938
0,8500000,13440,9615,1602693936
0,1000000,4163,451,1602693946
0,1000000,4201,451,1602693947
0,4000000,7011,3255,1602693945
2,10,4047,269,1602693951
1,128,15507,11730,1602693942
2,10,4049,266,1602693955
2,80,5158,1376,1602693956
0,7000000,11050,7290,1602693965
0,1000000,4217,451,1602693972
2,80,5262,1478,1602693973
2,320,10763,6981,1602693968
2,320,10861,7070,1602693968
1,1,3951,187,1602693979
0,7000000,11052,7289,1602693982
0,5500000,8919,5162,1602693986
1,512,64561,60769,1602693933
0,1000000,4170,451,1602694000
0,4000000,6981,3259,1602693998
0,5500000,8928,5160,1602693999
2,10,4012,265,1602694005
2,10,4044,264,1602694006
0,7000000,11044,7291,1602694003
2,20,4212,425,1602694011
1,128,31345,27554,1602693987
0,2500000,5405,1666,1602694013
2,80,5207,1429,1602694017
1,1,3981,263,1602694019
2,320,9016,5246,1602694014
1,256,53936,50187,1602693969
0,4000000,7015,3262,1602694017
2,20,4463,662,1602694020
0,7000000,11052,7296,1602694014
2,10,4025,272,1602694021
0,5500000,8877,5164,1602694019
2,320,8923,5155,1602694019
0,4000000,6977,3256,1602694021
0,4000000,6987,3254,1602694025
1,1,4032,301,1602694030
0,1000000,4168,451,1602694031
0,8500000,14166,10410,1602694021
1,1024,122498,118684,1602693914
0,7000000,10914,7284,1602694026
0,2500000,5383,1667,1602694032
1,1,4054,295,1602694036
2,10,4051,266,1602694040
1,256,62954,59176,1602693982
0,5500000,8794,5161,1602694039
0,2500000,5432,1666,1602694043
0,1000000,4239,452,1602694046
0,4000000,7022,3253,1602694045
0,5500000,8914,5159,1602694043
0,7000000,11039,7287,1602694041
0,7000000,11048,7290,1602694042
1,512,101694,98035,1602693952
2,320,8949,5158,1602694045
0,2500000,5414,1665,1602694050
1,512,105070,101285,1602693953
1,256,68213,64433,1602693992
2,160,6407,2652,1602694054
0,1000000,4209,451,1602694062
1,512,110594,106814,1602693956
1,128,41112,37301,1602694026
1,128,41027,37257,1602694026
0,4000000,7008,3259,1602694062
2,40,4563,792,1602694064
2,10,4115,318,1602694065
0,8500000,13386,9622,1602694056
0,2500000,5437,1665,1602694064
2,40,4556,757,1602694065
0,5500000,8922,5164,1602694062
2,160,6431,2647,1602694069
2,40,4383,742,1602694074
2,40,4524,745,1602694074
