4194303
workloadID, workload argument, run, tFC, tVM
0,1000000,0,4165,451
0,1000000,1,4152,451
0,1000000,2,4155,451
0,1000000,3,4163,451
0,1000000,4,4158,452
0,1000000,5,4158,451
0,1000000,6,4158,451
0,1000000,7,4154,451
0,1000000,8,4155,451
0,1000000,9,4151,451
0,2500000,0,5367,1665
0,2500000,1,5368,1666
0,2500000,2,5375,1666
0,2500000,3,5364,1666
0,2500000,4,5372,1666
0,2500000,5,5363,1666
0,2500000,6,5364,1666
0,2500000,7,5372,1666
0,2500000,8,5367,1666
0,2500000,9,5363,1666
0,4000000,0,6955,3256
0,4000000,1,6963,3256
0,4000000,2,6964,3256
0,4000000,3,6956,3254
0,4000000,4,6955,3253
0,4000000,5,6955,3255
0,4000000,6,6964,3253
0,4000000,7,6959,3253
0,4000000,8,6955,3254
0,4000000,9,6955,3254
0,5500000,0,8855,5156
0,5500000,1,8859,5155
0,5500000,2,8856,5156
0,5500000,3,8779,5157
0,5500000,4,8855,5157
0,5500000,5,8864,5161
0,5500000,6,8867,5161
0,5500000,7,8862,5162
0,5500000,8,8867,5160
0,5500000,9,8832,5163
0,7000000,0,10991,7289
0,7000000,1,10995,7292
0,7000000,2,10983,7285
0,7000000,3,10987,7284
0,7000000,4,10988,7287
0,7000000,5,10992,7284
0,7000000,6,10991,7284
0,7000000,7,10988,7285
0,7000000,8,10987,7283
0,7000000,9,10987,7284
0,8500000,0,13311,9607
0,8500000,1,13316,9606
0,8500000,2,13311,9606
0,8500000,3,13303,9604
0,8500000,4,13304,9606
0,8500000,5,13311,9607
0,8500000,6,13303,9606
0,8500000,7,13311,9609
0,8500000,8,13315,9609
0,8500000,9,13311,9606
1,4096,0,97399,93674
1,4096,1,97312,93582
1,4096,2,97508,93690
1,4096,3,97328,93597
1,4096,4,97336,93607
1,4096,5,97376,93645
1,4096,6,97476,93745
1,4096,7,97467,93728
1,4096,8,97422,93682
1,4096,9,97314,93582
1,2048,0,50751,47014
1,2048,1,50530,46796
1,2048,2,50543,46805
1,2048,3,50526,46794
1,2048,4,50514,46779
1,2048,5,50566,46832
1,2048,6,50531,46800
1,2048,7,50526,46796
1,2048,8,50518,46782
1,2048,9,50531,46798
1,1024,0,27158,23425
1,1024,1,27010,23420
1,1024,2,27170,23437
1,1024,3,27151,23417
1,1024,4,27154,23422
1,1024,5,27162,23426
1,1024,6,27150,23417
1,1024,7,27163,23426
1,1024,8,27162,23433
1,1024,9,27171,23445
1,512,0,15480,11751
1,512,1,15475,11750
1,512,2,15484,11750
1,512,3,15476,11749
1,512,4,15484,11755
1,512,5,15472,11746
1,512,6,15480,11751
1,512,7,15492,11764
1,512,8,15467,11741
1,512,9,15471,11744
1,256,0,9644,5917
1,256,1,9648,5918
1,256,2,9620,5915
1,256,3,9647,5919
1,256,4,9648,5917
1,256,5,9648,5913
1,256,6,9639,5914
1,256,7,9632,5903
1,256,8,9640,5913
1,256,9,9616,5917
1,128,0,6715,2987
1,128,1,6728,2997
1,128,2,6715,2987
1,128,3,6716,2989
1,128,4,6719,2987
1,128,5,6724,2996
1,128,6,6720,2987
1,128,7,6688,2985
1,128,8,6724,2996
1,128,9,6715,2987
1,10,0,3909,233
1,10,1,3939,233
1,10,2,3939,233
1,10,3,3935,233
1,10,4,3943,233
1,10,5,3940,233
1,10,6,3940,233
1,10,7,3940,233
1,10,8,3935,233
1,10,9,3943,233
1,1,0,3731,25
1,1,1,3727,25
1,1,2,3623,25
1,1,3,3727,25
1,1,4,3735,25
1,1,5,3731,25
1,1,6,3727,25
1,1,7,3731,25
1,1,8,3727,25
1,1,9,3727,25
2,10,0,3994,262
2,10,1,3984,261
2,10,2,3988,260
2,10,3,3952,262
2,10,4,3983,260
2,10,5,3984,261
2,10,6,3995,262
2,10,7,3854,261
2,10,8,3854,260
2,10,9,3902,261
2,20,0,4150,418
2,20,1,4010,416
2,20,2,4006,415
2,20,3,4142,418
2,20,4,4144,418
2,20,5,4140,417
2,20,6,4140,415
2,20,7,4144,418
2,20,8,4144,418
2,20,9,4144,419
2,40,0,4456,729
2,40,1,4452,731
2,40,2,4456,732
2,40,3,4460,727
2,40,4,4456,728
2,40,5,4460,733
2,40,6,4456,734
2,40,7,4460,733
2,40,8,4459,731
2,40,9,4452,727
2,80,0,5088,1363
2,80,1,5083,1349
2,80,2,5080,1353
2,80,3,5080,1357
2,80,4,5075,1352
2,80,5,5088,1362
2,80,6,5071,1352
2,80,7,5083,1362
2,80,8,5084,1360
2,80,9,5092,1358
2,160,0,6332,2606
2,160,1,6348,2620
2,160,2,6348,2622
2,160,3,6316,2591
2,160,4,6331,2597
2,160,5,6328,2599
2,160,6,6308,2604
2,160,7,6344,2616
2,160,8,6336,2614
2,160,9,6316,2591
2,320,0,8856,5131
2,320,1,8820,5095
2,320,2,8880,5144
2,320,3,8848,5122
2,320,4,8855,5129
2,320,5,8864,5138
2,320,6,8855,5132
2,320,7,8851,5127
2,320,8,8792,5067
2,320,9,8843,5116
