workloadID, workload argument, tFC, tVM, start time
2,20,4192,444,1606651210
2,10,4064,280,1606651211
1,10,3880,0,1606651212
1,1024,3727,0,1606651213
0,2500000,5416,1667,1606651212
1,1,3804,28,1606651213
2,20,4372,599,1606651213
2,40,4818,1035,1606651213
2,10,4220,416,1606651214
2,40,4810,1025,1606651213
1,256,3783,0,1606651214
1,10,3912,0,1606651214
0,4000000,7008,3256,1606651212
2,20,4297,494,1606651214
2,40,4850,1188,1606651214
2,20,4231,582,1606651215
2,10,4101,312,1606651215
1,2048,3898,0,1606651216
2,20,4412,583,1606651215
0,2500000,5373,1667,1606651215
2,10,4227,392,1606651216
2,80,5344,1588,1606651215
2,320,9828,6052,1606651211
1,256,3915,0,1606651217
2,40,4695,863,1606651216
0,4000000,7025,3256,1606651215
0,4000000,7045,3256,1606651215
0,5500000,8924,5161,1606651213
0,7000000,11028,7296,1606651211
2,20,4420,566,1606651217
1,1,3869,30,1606651218
1,512,3892,0,1606651218
0,4000000,7083,3256,1606651215
1,2048,3932,0,1606651219
0,2500000,5451,1666,1606651217
0,4000000,7003,3257,1606651216
1,128,3940,0,1606651220
0,7000000,11036,7290,1606651213
0,7000000,11065,7289,1606651213
0,8500000,13357,9619,1606651211
0,4000000,6932,3256,1606651218
1,2048,3939,0,1606651221
2,320,10737,6921,1606651214
2,80,5715,2086,1606651219
1,2048,3893,0,1606651221
0,1000000,4343,452,1606651221
0,1000000,4126,451,1606651221
0,2500000,5475,1668,1606651220
2,40,5021,1178,1606651221
0,1000000,4131,452,1606651222
2,80,6526,2812,1606651220
0,7000000,11108,7288,1606651215
2,10,4098,326,1606651223
2,40,4994,1208,1606651223
2,10,4313,476,1606651224
1,1024,3948,0,1606651224
0,2500000,5482,1667,1606651223
2,320,10403,6593,1606651218
2,320,10756,7071,1606651218
0,2500000,5487,1666,1606651223
2,40,6508,2465,1606651222
0,8500000,13390,9613,1606651216
0,5500000,9023,5162,1606651221
1,256,3748,0,1606651227
2,80,5354,1534,1606651225
0,1000000,4036,452,1606651227
1,128,3919,0,1606651227
2,20,4298,523,1606651227
0,5500000,8950,5160,1606651222
2,20,4534,627,1606651227
2,10,5028,979,1606651226
2,10,4127,319,1606651227
0,1000000,4099,452,1606651228
0,1000000,4261,451,1606651228
2,160,9212,5457,1606651223
1,4096,3894,0,1606651228
2,160,11879,8036,1606651220
2,80,7349,3459,1606651225
0,8500000,13416,9614,1606651219
0,7000000,11086,7289,1606651222
0,8500000,13391,9618,1606651220
0,7000000,11096,7294,1606651222
2,20,4283,673,1606651229
2,80,5937,2281,1606651228
0,4000000,7069,3256,1606651227
2,80,7359,3368,1606651227
0,5500000,8889,5161,1606651226
2,20,4822,1005,1606651230
0,5500000,8925,5161,1606651226
2,160,7488,3637,1606651228
1,512,3939,0,1606651232
2,160,7860,4032,1606651228
0,7000000,11126,7289,1606651225
0,1000000,4301,452,1606651232
0,7000000,12902,9079,1606651224
2,320,16139,12312,1606651221
2,80,5753,2073,1606651231
2,160,7873,4088,1606651229
0,5500000,9250,5163,1606651228
0,4000000,7008,3257,1606651231
2,320,11268,7638,1606651227
0,7000000,10942,7291,1606651227
0,8500000,13400,9610,1606651225
2,80,5219,1513,1606651233
0,1000000,4210,451,1606651234
1,1,3803,25,1606651235
2,40,4507,829,1606651235
2,40,4627,838,1606651235
1,2048,3889,0,1606651236
2,10,4035,285,1606651236
2,20,4372,548,1606651236
1,1024,3891,0,1606651237
0,2500000,5464,1668,1606651235
2,40,4615,802,1606651237
2,320,10407,6579,1606651231
0,4000000,7038,3255,1606651235
2,40,4642,866,1606651237
0,8500000,13285,9613,1606651229
0,1000000,4202,452,1606651238
0,4000000,7005,3256,1606651235
2,40,4588,793,1606651238
2,10,4020,284,1606651238
0,1000000,4214,451,1606651238
1,128,3949,0,1606651239
1,2048,3930,0,1606651239
1,512,3954,0,1606651239
0,8500000,13377,9613,1606651230
2,20,4237,456,1606651239
0,4000000,7066,3256,1606651237
0,2500000,5481,1668,1606651239
0,5500000,8741,5163,1606651236
0,2500000,5639,1667,1606651240
1,1024,4387,0,1606651241
1,512,3857,0,1606651242
0,2500000,5462,1668,1606651240
0,1000000,4148,452,1606651242
0,2500000,5475,1668,1606651241
2,160,7482,3704,1606651239
0,8500000,13518,9614,1606651233
0,8500000,13427,9619,1606651233
2,10,4229,540,1606651242
0,8500000,13433,9615,1606651233
0,5500000,8928,5160,1606651238
2,20,4409,630,1606651243
2,80,5902,2124,1606651241
1,10,3961,0,1606651244
1,4096,3925,0,1606651245
2,320,10757,6944,1606651238
2,40,5863,2029,1606651243
1,1024,3912,0,1606651245
2,40,5327,1565,1606651244
0,7000000,11026,7288,1606651238
0,2500000,5465,1666,1606651244
0,4000000,7076,3256,1606651242
0,1000000,4258,452,1606651245
0,1000000,4226,452,1606651246
2,40,6736,2722,1606651243
2,80,6257,2375,1606651244
0,4000000,7070,3258,1606651243
0,8500000,13412,9616,1606651237
0,2500000,5431,1666,1606651245
1,1024,3909,0,1606651247
0,5500000,8961,5162,1606651242
2,80,8489,4541,1606651243
2,160,8996,5242,1606651242
2,320,11864,8047,1606651239
0,1000000,4030,451,1606651248
2,160,10157,6392,1606651242
0,7000000,11082,7293,1606651242
2,10,4200,311,1606651248
0,7000000,11074,7291,1606651242
1,256,4006,0,1606651249
1,2048,3927,0,1606651249
0,5500000,9157,5164,1606651244
2,160,7729,3929,1606651246
0,2500000,5368,1668,1606651249
1,1,3804,29,1606651250
1,2048,3859,0,1606651250
0,5500000,8782,5161,1606651246
2,10,4430,564,1606651250
2,10,4185,340,1606651251
0,2500000,5548,1666,1606651249
1,512,3874,0,1606651251
2,40,5518,1817,1606651250
2,20,5290,1401,1606651250
0,7000000,10933,7289,1606651245
1,512,3891,0,1606651252
2,20,4337,543,1606651252
2,80,6066,2271,1606651251
2,20,4882,1017,1606651252
2,10,4065,288,1606651253
0,4000000,7120,3257,1606651250
2,40,6359,2378,1606651251
2,10,4265,436,1606651253
0,7000000,11066,7287,1606651246
0,7000000,11065,7296,1606651247
0,5500000,8893,5164,1606651249
0,7000000,11150,7343,1606651247
2,40,5887,1985,1606651252
1,1024,3928,0,1606651254
2,320,11748,7934,1606651246
2,320,12273,8446,1606651246
2,40,5333,1531,1606651253
2,320,12242,8503,1606651246
2,20,4261,459,1606651254
0,2500000,5410,1672,1606651253
2,40,5266,1454,1606651254
0,5500000,8871,5162,1606651250
2,10,4064,287,1606651255
0,5500000,8777,5158,1606651251
0,5500000,8920,5157,1606651251
0,8500000,13306,9616,1606651246
1,256,3800,0,1606651256
0,8500000,13448,9615,1606651246
2,10,4163,351,1606651256
2,80,6644,2840,1606651253
2,20,4451,607,1606651255
1,1024,3860,0,1606651256
0,8500000,13444,9617,1606651247
2,10,4122,336,1606651256
2,160,8169,4385,1606651252
2,10,4166,327,1606651257
0,7000000,11053,7294,1606651250
1,512,3909,0,1606651257
2,320,12573,8748,1606651249
2,40,4473,791,1606651257
2,10,4162,340,1606651257
2,320,12329,8526,1606651250
1,2048,3886,0,1606651259
0,5500000,9129,5169,1606651254
1,1,3668,25,1606651260
2,80,6163,2334,1606651257
2,20,4730,834,1606651259
0,5500000,8888,5163,1606651256
0,7000000,11164,7300,1606651254
0,1000000,4287,453,1606651261
2,20,4263,514,1606651261
1,2048,3957,0,1606651262
0,8500000,14004,9656,1606651252
2,160,8144,4323,1606651258
0,7000000,11497,7299,1606651255
2,160,8585,4304,1606651258
0,1000000,4348,452,1606651262
0,8500000,13574,9637,1606651254
0,4000000,7278,3262,1606651260
2,20,4331,551,1606651263
2,80,5513,1791,1606651262
2,80,6053,2232,1606651262
2,40,5016,1205,1606651263
