#cpu_count: 64
#total_mem: 270332968960
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1606307962.2086873,0.0,0.0,23.0,0.0,0.0,0.0,266243743744,0
1606307963.2102985,0.0,0.0,100.0,0.0,0.0,0.0,266243952640,0
1606307964.2122967,0.0,0.0,100.0,0.0,0.0,0.0,266243960832,0
1606307965.214231,0.0,0.0,100.0,0.0,0.0,0.0,266243960832,0
1606307966.216225,0.0,0.0,100.0,0.0,0.0,0.0,266243960832,0
1606307967.21816,0.0,0.0,100.0,0.0,0.0,0.0,266243960832,0
1606307968.2200944,0.0,0.0,100.0,0.0,0.0,0.0,266243960832,0
1606307969.2220194,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307970.2239954,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307971.2259378,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307972.2278779,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307973.2298248,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307974.2318702,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307975.233809,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307976.2357454,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307977.2376812,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307978.2396696,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307979.2416065,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307980.2435403,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307981.2454717,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307982.2474473,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307983.2493937,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307984.251384,0.0,0.0,100.0,0.0,0.0,0.0,266243964928,0
1606307985.2533205,0.0,0.0,100.0,0.0,0.0,0.0,266245513216,0
1606307986.2553072,0.0,0.0,100.0,0.0,0.0,0.0,266245513216,0
1606307987.257249,0.0,0.0,100.0,0.0,0.0,0.0,266245513216,0
1606307988.25918,0.0,0.0,100.0,0.0,0.0,0.0,266245480448,0
1606307989.2611365,0.0,0.0,100.0,0.0,0.0,0.0,266245513216,0
1606307990.263143,0.0,0.0,100.0,0.0,0.0,0.0,266245513216,0
1606307991.2651317,0.0,0.0,100.0,0.0,0.0,0.0,266245513216,0
1606307992.2670689,0.0,0.0,100.0,0.0,0.0,0.0,266245320704,0
1606307993.2690265,0.0,0.0,100.0,0.0,0.0,0.0,266245320704,0
1606307994.270906,0.0,0.0,99.9,0.0,0.1,0.0,266244653056,0
1606307995.2727315,0.6,0.3,99.0,0.0,1.0,0.0,266203963392,0
1606307996.27454,1.8,0.9,96.9,0.5,3.1,0.32,266100518912,0
1606307997.2764475,3.7,1.0,95.2,0.0,4.8,0.32,266040233984,0
1606307998.2783406,6.3,0.8,92.2,0.7,7.8,0.32,266059583488,0
1606307999.2793021,7.0,2.1,90.3,0.7,9.7,0.32,265934970880,0
1606308000.2821715,7.4,1.6,90.4,0.6,9.6,0.32,265846996992,0
1606308001.2843459,9.4,0.7,89.6,0.2,10.4,1.58,265926447104,0
1606308002.2860997,7.0,0.8,92.2,0.0,7.8,1.58,266031972352,0
1606308003.2873325,6.7,1.6,91.7,0.1,8.3,1.58,265960460288,0
1606308004.2898695,6.5,1.4,91.9,0.3,8.1,1.58,265893601280,0
1606308005.2912977,9.5,1.4,88.5,0.6,11.5,1.58,265890394112,0
1606308006.2934039,9.3,2.0,88.3,0.4,11.7,3.05,265848954880,0
1606308007.2952077,10.7,2.1,86.4,0.8,13.6,3.05,265775882240,0
1606308008.2973433,10.8,1.2,86.9,1.1,13.1,3.05,265873219584,0
1606308009.299302,10.7,1.0,88.1,0.2,11.9,3.05,265972752384,0
1606308010.301419,4.4,1.1,94.1,0.4,5.9,3.05,266021347328,0
1606308011.3032985,7.4,0.8,90.8,1.0,9.2,4.33,266002309120,0
1606308012.3054438,5.1,1.4,93.5,0.0,6.5,4.33,266001657856,0
1606308013.3075264,7.7,1.3,90.8,0.3,9.3,4.33,265896927232,0
1606308014.3094893,8.4,0.7,90.1,0.7,9.9,4.33,266028384256,0
1606308015.3113153,7.9,2.4,89.2,0.5,10.8,4.33,265899945984,0
1606308016.3134608,7.3,1.8,90.7,0.3,9.3,5.02,265777020928,0
1606308017.3152785,11.7,0.7,87.2,0.3,12.8,5.02,265917980672,0
1606308018.3195868,5.8,0.3,93.5,0.3,6.5,5.02,266128334848,0
1606308019.3215406,3.2,0.6,96.1,0.1,3.9,5.02,266169737216,0
1606308020.323388,3.1,1.1,95.7,0.2,4.3,5.02,266015318016,0
1606308021.3252895,6.2,1.5,92.0,0.3,8.0,5.5,265929863168,0
1606308022.3273463,9.3,2.1,87.9,0.7,12.1,5.5,265790586880,0
1606308023.3294344,10.5,1.8,87.5,0.2,12.5,5.5,265764945920,0
1606308024.3315916,11.2,1.5,86.8,0.5,13.2,5.5,265838190592,0
1606308025.3334823,10.9,2.0,87.0,0.1,13.0,5.5,265802448896,0
1606308026.3356063,6.2,1.0,92.7,0.2,7.3,6.34,265982255104,0
1606308027.337515,10.1,0.9,88.8,0.1,11.2,6.34,265973211136,0
1606308028.3395774,4.8,1.9,93.2,0.1,6.8,6.34,265958625280,0
1606308029.3414776,8.5,1.1,90.1,0.3,9.9,6.34,265887997952,0
1606308030.3435385,8.5,1.3,89.7,0.5,10.3,6.34,265968934912,0
1606308031.3454416,7.4,1.5,90.6,0.5,9.4,6.8,265918029824,0
1606308032.3475971,6.9,0.5,92.6,0.0,7.4,6.8,266025074688,0
1606308033.349506,5.6,1.1,93.1,0.3,6.9,6.8,266062778368,0
1606308034.3516064,5.1,1.1,93.6,0.2,6.4,6.8,265993060352,0
1606308035.353987,5.7,0.7,93.0,0.5,7.0,6.8,266065711104,0
1606308036.3552809,4.3,0.5,95.2,0.1,4.8,6.65,266134810624,0
1606308037.357156,5.1,1.2,92.9,0.8,7.1,6.65,266040516608,0
1606308038.3590553,5.0,0.8,93.5,0.7,6.6,6.65,265991778304,0
1606308039.3609855,5.4,0.9,93.0,0.7,6.9,6.65,266032738304,0
1606308040.3628788,5.5,0.9,93.0,0.7,7.0,6.65,266060300288,0
1606308041.364802,4.1,0.9,94.5,0.5,5.5,6.44,266011389952,0
1606308042.3667126,4.5,1.1,94.0,0.3,6.0,6.44,266058043392,0
1606308043.3686311,8.0,1.3,89.9,0.8,10.1,6.44,265889705984,0
1606308044.3705547,5.9,1.3,92.3,0.5,7.7,6.44,265971101696,0
1606308045.372467,7.8,1.1,91.1,0.0,8.9,6.44,265955979264,0
1606308046.3743865,5.3,0.5,94.0,0.2,6.0,6.32,266061819904,0
1606308047.3763103,5.0,1.1,93.7,0.2,6.3,6.32,266015236096,0
1606308048.3784351,7.7,2.1,90.1,0.2,9.9,6.32,265850089472,0
1606308049.3803625,8.3,1.2,90.2,0.3,9.8,6.32,265878515712,0
1606308050.3822691,9.4,0.9,89.5,0.2,10.5,6.32,266040250368,0
1606308051.3833194,5.8,1.3,92.5,0.4,7.5,6.86,266002313216,0
1606308052.3852255,5.6,1.0,93.3,0.2,6.7,6.86,265960693760,0
1606308053.3871338,8.0,1.4,90.6,0.0,9.4,6.86,265914953728,0
1606308054.389111,6.4,0.9,92.3,0.4,7.7,6.86,265986011136,0
1606308055.39101,6.9,1.4,91.7,0.0,8.4,6.86,266026909696,0
