#cpu_count: 64
#total_mem: 270332968960
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1606318633.0252173,0.0,0.0,23.0,0.0,0.0,0.0,266243575808,0
1606318634.0268695,0.0,0.0,100.0,0.0,0.0,0.0,266243833856,0
1606318635.028832,0.0,0.0,100.0,0.0,0.0,0.0,266243833856,0
1606318636.0307631,0.0,0.0,100.0,0.0,0.0,0.0,266243850240,0
1606318637.0327222,0.0,0.0,100.0,0.0,0.0,0.0,266243850240,0
1606318638.0347197,0.0,0.0,100.0,0.0,0.0,0.0,266243850240,0
1606318639.0366762,0.0,0.0,100.0,0.0,0.0,0.0,266243850240,0
1606318640.03861,0.0,0.0,100.0,0.0,0.0,0.0,266243850240,0
1606318641.0405648,0.0,0.0,100.0,0.0,0.0,0.0,266243850240,0
1606318642.042568,0.0,0.0,100.0,0.0,0.0,0.0,266243850240,0
1606318643.0445309,0.0,0.0,100.0,0.0,0.0,0.0,266243850240,0
1606318644.046514,0.0,0.0,100.0,0.0,0.0,0.0,266243850240,0
1606318645.048483,0.0,0.0,100.0,0.0,0.0,0.0,266244112384,0
1606318646.050486,0.1,0.0,99.9,0.0,0.1,0.0,266244112384,0
1606318647.0524604,0.0,0.0,99.9,0.0,0.1,0.0,266243727360,0
1606318648.05426,1.3,0.6,97.7,0.3,2.3,0.0,266137931776,0
1606318649.0561311,4.7,1.9,92.9,0.5,7.1,0.0,265951571968,0
1606318650.0582619,6.4,0.9,92.5,0.2,7.5,0.72,265953783808,0
1606318651.0601373,7.1,0.8,92.1,0.1,7.9,0.72,266100498432,0
1606318652.0620282,4.4,0.9,93.8,0.8,6.2,0.72,266034659328,0
1606318653.0632963,4.9,1.0,93.3,0.8,6.7,0.72,265981911040,0
1606318654.0652597,6.8,0.6,91.6,1.0,8.4,0.72,265990643712,0
1606318655.0673912,3.7,0.8,94.9,0.7,5.2,1.22,266102140928,0
1606318656.069375,3.6,0.6,95.3,0.6,4.7,1.22,266066354176,0
1606318657.0712936,5.5,1.2,92.2,1.0,7.8,1.22,265990004736,0
1606318658.0732062,5.7,1.5,92.7,0.1,7.3,1.22,265880072192,0
1606318659.0751028,6.9,0.6,91.8,0.7,8.2,1.22,265982496768,0
1606318660.0770252,5.7,0.7,93.2,0.5,6.8,2.49,266026860544,0
1606318661.078917,4.3,0.8,94.0,0.9,6.0,2.49,265954037760,0
1606318662.0808256,5.9,1.4,92.0,0.7,8.0,2.49,265957027840,0
1606318663.0829391,7.0,1.1,91.8,0.2,8.3,2.49,265947832320,0
1606318664.0851874,8.5,1.7,89.3,0.5,10.7,2.49,265911287808,0
1606318665.0875719,4.9,0.5,94.0,0.5,6.0,3.01,265977380864,0
1606318666.089554,9.9,1.5,88.2,0.3,11.8,3.01,266026897408,0
1606318667.0913048,3.0,0.9,96.0,0.2,4.0,3.01,265986097152,0
1606318668.093444,8.1,0.8,90.6,0.5,9.4,3.01,266022076416,0
1606318669.0952876,6.5,1.5,91.3,0.6,8.7,3.01,265949245440,0
1606318670.0976336,7.2,1.6,90.9,0.3,9.1,3.65,265868414976,0
1606318671.0992963,10.4,1.3,87.7,0.6,12.3,3.65,265916940288,0
1606318672.1014223,8.0,1.5,90.3,0.3,9.7,3.65,265947447296,0
1606318673.103287,8.7,1.1,89.7,0.5,10.3,3.65,265891246080,0
1606318674.1053133,8.9,2.0,89.0,0.2,11.0,3.65,265906053120,0
1606318675.107382,8.3,1.2,90.3,0.2,9.7,4.24,265923620864,0
1606318676.1094842,6.4,0.8,92.7,0.1,7.3,4.24,266067296256,0
1606318677.111308,7.6,1.2,90.9,0.3,9.1,4.24,265953005568,0
1606318678.1132128,3.5,0.4,95.2,0.9,4.8,4.24,266048913408,0
1606318679.1151056,5.3,0.2,93.7,0.7,6.3,4.24,266131546112,0
1606318680.1170533,1.0,0.6,98.1,0.3,1.9,4.06,266148896768,0
1606318681.1188948,3.5,1.3,94.8,0.4,5.2,4.06,266023342080,0
1606318682.1208165,4.8,0.4,94.2,0.6,5.8,4.06,266024026112,0
1606318683.1226795,5.0,0.7,93.6,0.7,6.4,4.06,266096308224,0
1606318684.124596,3.8,0.9,94.7,0.5,5.3,4.06,266022264832,0
1606318685.126453,6.2,1.1,92.2,0.6,7.8,4.53,265981804544,0
1606318686.1283724,6.6,1.6,91.5,0.3,8.5,4.53,265947287552,0
1606318687.130225,6.6,0.6,92.5,0.4,7.5,4.53,265940615168,0
1606318688.131301,6.0,0.8,92.8,0.3,7.2,4.53,266083745792,0
1606318689.1332185,4.3,0.7,94.7,0.2,5.3,4.53,266054025216,0
