#cpu_count: 64
#total_mem: 270332968960
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1606295044.3755856,1.0,0.0,24.0,1.0,7.4,0.39,266282721280,0
1606295045.3771968,0.0,0.0,100.0,0.0,0.0,0.39,266281480192,0
1606295046.3791795,0.0,0.0,100.0,0.0,0.0,0.36,266281480192,0
1606295047.3811522,0.0,0.0,100.0,0.0,0.0,0.36,266281480192,0
1606295048.383094,0.0,0.0,100.0,0.0,0.0,0.36,266281480192,0
1606295049.3850515,0.0,0.0,100.0,0.0,0.0,0.36,266281480192,0
1606295050.3870275,0.0,0.0,100.0,0.0,0.0,0.36,266281480192,0
1606295051.38902,0.0,0.0,100.0,0.0,0.0,0.33,266281480192,0
1606295052.3909578,0.0,0.0,100.0,0.0,0.0,0.33,266281480192,0
1606295053.3929398,0.0,0.0,100.0,0.0,0.0,0.33,266281480192,0
1606295054.3949676,0.0,0.0,100.0,0.0,0.0,0.33,266281480192,0
1606295055.3969524,0.0,0.0,100.0,0.0,0.0,0.33,266281480192,0
1606295056.3988965,0.0,0.0,100.0,0.0,0.0,0.3,266281447424,0
1606295057.4008775,0.0,0.0,100.0,0.0,0.0,0.3,266281480192,0
1606295058.4028478,0.0,0.0,100.0,0.0,0.0,0.3,266281447424,0
1606295059.4048295,0.0,0.0,100.0,0.0,0.0,0.3,266281480192,0
1606295060.4067667,0.0,0.0,100.0,0.0,0.0,0.3,266281480192,0
1606295061.408736,0.0,0.0,100.0,0.0,0.0,0.28,266281480192,0
1606295062.4107401,0.0,0.0,100.0,0.0,0.0,0.28,266281480192,0
1606295063.4127173,0.0,0.0,100.0,0.0,0.0,0.28,266281480192,0
1606295064.4147067,0.0,0.0,100.0,0.0,0.0,0.28,266281480192,0
1606295065.4166877,0.0,0.0,99.9,0.0,0.1,0.28,266280300544,0
1606295066.4185262,0.4,0.2,99.3,0.0,0.7,0.26,266243969024,0
1606295067.420384,2.0,1.1,96.5,0.4,3.5,0.26,266107285504,0
1606295068.4222898,2.7,1.5,95.5,0.3,4.5,0.26,265971630080,0
1606295069.424094,3.8,1.7,94.3,0.2,5.7,0.26,265804013568,0
1606295070.4259923,2.5,0.9,96.5,0.1,3.5,0.26,265719812096,0
1606295071.4278169,2.5,1.2,95.7,0.6,4.3,0.96,265870139392,0
1606295072.429798,6.5,3.1,89.8,0.6,10.2,0.96,265666777088,0
1606295073.4312952,3.8,1.7,94.4,0.2,5.6,0.96,265632878592,0
1606295074.4331076,3.3,1.9,94.3,0.5,5.7,0.96,265605484544,0
1606295075.4352787,3.4,1.4,94.8,0.4,5.2,0.96,265604624384,0
1606295076.4374242,3.5,1.6,94.6,0.3,5.4,1.6,265719238656,0
1606295077.4393227,3.4,1.6,94.2,0.7,5.8,1.6,265720205312,0
1606295078.4414701,4.0,2.0,93.9,0.1,6.1,1.6,265699012608,0
1606295079.443541,2.9,1.2,95.4,0.5,4.6,1.6,265708949504,0
1606295080.4456437,4.7,2.4,92.5,0.4,7.5,1.6,265653927936,0
1606295081.4472847,5.7,2.9,90.5,1.0,9.5,2.43,265565720576,0
1606295082.4485345,4.0,1.5,94.2,0.2,5.8,2.43,265544523776,0
1606295083.4507074,2.6,1.4,95.7,0.4,4.3,2.43,265622839296,0
1606295084.452907,2.4,1.4,95.7,0.5,4.3,2.43,265792561152,0
1606295085.4549487,2.0,1.0,96.6,0.3,3.4,2.43,265940688896,0
1606295086.4568741,3.0,1.4,95.2,0.4,4.7,2.32,265866821632,0
1606295087.4590082,3.1,1.1,95.7,0.1,4.3,2.32,265837944832,0
1606295088.4608657,3.2,1.6,95.0,0.2,5.0,2.32,265799831552,0
