#cpu_count: 64
#total_mem: 270332968960
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1606651195.2200782,0.0,0.0,24.0,0.0,0.0,0.0,265792692224,110292992
1606651196.2217162,0.0,0.0,100.0,0.0,0.0,0.0,265793232896,110292992
1606651197.2237318,0.0,0.0,100.0,0.0,0.0,0.0,265793232896,110292992
1606651198.2257304,0.0,0.0,100.0,0.0,0.0,0.0,265793232896,110292992
1606651199.2275918,0.0,0.0,100.0,0.0,0.0,0.0,265793232896,110292992
1606651200.2295783,0.0,0.0,100.0,0.0,0.0,0.0,265793748992,110292992
1606651201.2314732,0.0,0.0,100.0,0.0,0.0,0.0,265793810432,110292992
1606651202.2334814,0.0,0.0,100.0,0.0,0.0,0.0,265793810432,110292992
1606651203.2354836,0.0,0.0,100.0,0.0,0.0,0.0,265793810432,110292992
1606651204.2374847,0.0,0.0,100.0,0.0,0.0,0.0,265793810432,110292992
1606651205.2394786,0.0,0.0,100.0,0.0,0.0,0.0,265794068480,110292992
1606651206.2415001,0.0,0.0,100.0,0.0,0.0,0.0,265794326528,110292992
1606651207.2434473,0.0,0.0,100.0,0.0,0.0,0.0,265794326528,110292992
1606651208.2454436,0.0,0.0,100.0,0.0,0.0,0.0,265794318336,110292992
1606651209.2474308,0.0,0.0,100.0,0.0,0.0,0.0,265794318336,110292992
1606651210.2494276,0.0,0.0,99.9,0.0,0.1,0.0,265794252800,110292992
1606651211.2513397,0.4,0.3,99.2,0.1,0.8,0.0,265724264448,110292992
1606651212.2532022,2.4,1.6,95.6,0.3,4.4,0.0,265571770368,110292992
1606651213.2550693,5.8,1.4,92.3,0.5,7.7,0.0,265305260032,110292992
1606651214.2569873,11.5,2.6,85.7,0.2,14.3,0.0,264923348992,110292992
1606651215.2593217,14.5,2.8,82.5,0.2,17.5,0.0,264645705728,110292992
1606651216.2614398,22.6,3.5,73.6,0.3,26.4,2.8,264114401280,110292992
1606651217.2634728,23.9,3.1,72.6,0.4,27.4,2.8,263544557568,110292992
1606651218.2662117,24.8,1.8,73.0,0.3,27.0,2.8,263515484160,110292992
1606651219.2676134,25.6,2.6,71.5,0.3,28.5,2.8,263930580992,110292992
1606651220.2695482,25.0,1.7,72.9,0.4,27.1,2.8,263830646784,110292992
1606651221.2714252,22.6,2.3,74.8,0.3,25.2,5.38,264145424384,110292992
1606651222.2733424,24.0,3.2,72.5,0.4,27.5,5.38,264208039936,110292992
1606651223.2752657,25.1,2.5,72.0,0.3,28.0,5.38,264027451392,110292992
1606651224.2772052,25.7,2.6,71.3,0.4,28.7,5.38,263741378560,110292992
1606651225.279126,26.0,2.1,71.5,0.5,28.6,5.38,263461453824,110292992
1606651226.2810733,28.6,2.5,68.4,0.4,31.5,8.07,263712841728,110292992
1606651227.2829978,25.6,1.7,72.4,0.3,27.6,8.07,263910653952,110292992
1606651228.2849395,28.1,3.9,67.7,0.3,32.3,8.07,263561306112,110292992
1606651229.2868874,32.4,3.9,63.3,0.4,36.7,8.07,263472828416,110292992
1606651230.2888393,38.1,1.8,59.6,0.5,40.4,8.07,263076810752,110292992
1606651231.2907834,33.3,1.2,65.0,0.4,35.0,12.15,263101243392,110292992
1606651232.2918315,29.3,1.9,68.5,0.3,31.5,12.15,263547236352,110292992
1606651233.2937498,25.9,1.3,71.7,1.1,28.3,12.15,263825235968,110292992
1606651234.2956586,25.9,1.9,71.4,0.8,28.6,12.15,263976574976,110292992
1606651235.2976358,20.1,1.0,77.7,1.3,22.3,12.15,264114225152,110292992
1606651236.2997437,21.0,2.6,75.3,1.1,24.7,13.5,264340996096,110292992
1606651237.3016577,18.5,2.0,79.1,0.3,20.9,13.5,264291975168,110292992
1606651238.3035707,20.0,2.2,77.5,0.4,22.5,13.5,264302452736,110292992
1606651239.3054883,22.5,3.1,74.1,0.3,25.9,13.5,264184852480,110292992
1606651240.307395,25.8,3.5,70.5,0.3,29.5,13.5,263800360960,110292992
1606651241.3097346,23.5,1.9,73.9,0.6,26.1,15.54,263932973056,110292992
1606651242.3113077,21.7,1.5,75.8,1.0,24.2,15.54,263994433536,110292992
1606651243.3132353,26.8,3.4,69.4,0.4,30.6,15.54,264246837248,110292992
1606651244.3151205,27.4,2.7,69.5,0.3,30.6,15.54,264142962688,110292992
1606651245.3170698,28.4,2.9,68.4,0.3,31.5,15.54,263558631424,110292992
1606651246.3189952,27.1,3.0,69.5,0.4,30.6,17.82,263369707520,110292992
1606651247.3209941,34.0,3.7,61.8,0.5,38.1,17.82,263420411904,110292992
1606651248.323217,33.0,2.3,64.3,0.4,35.7,17.82,263379947520,110292992
1606651249.3243823,33.6,1.5,64.5,0.4,35.5,17.82,263424311296,110292992
1606651250.326558,32.4,2.8,64.5,0.3,35.5,17.82,263534968832,110292992
1606651251.3284848,32.3,4.4,63.0,0.3,37.0,20.0,263342166016,110292992
1606651252.33041,34.3,3.1,62.1,0.4,37.9,20.0,263469322240,110292992
1606651253.3323572,41.3,3.4,54.6,0.7,45.4,20.0,263078215680,110292992
1606651254.3345795,40.0,3.0,56.1,0.9,43.9,20.0,262961172480,110292992
1606651255.3386626,43.9,3.6,52.0,0.4,48.0,20.0,262613508096,110292992
1606651256.340946,40.2,2.5,56.0,1.3,44.0,24.64,262688546816,110292992
1606651257.342844,36.6,2.9,59.4,1.1,40.6,24.64,262773334016,110292992
1606651258.3447468,31.4,2.7,65.1,0.9,34.9,24.64,263018872832,110292992
1606651259.3466547,25.5,2.5,70.8,1.2,29.2,24.64,263442096128,110292992
1606651260.348573,22.6,1.9,74.6,0.9,25.4,24.64,263413346304,110292992
1606651261.3505108,25.1,2.2,71.2,1.5,28.8,26.19,263953043456,110292992
1606651262.3524306,26.6,2.0,70.6,0.7,29.4,26.19,264045617152,110292992
1606651263.3542786,30.6,2.6,66.6,0.3,33.4,26.19,263951073280,110292992
1606651264.3561594,32.4,2.3,64.9,0.3,35.1,26.19,263760097280,110292992
1606651265.3580902,32.0,2.1,65.3,0.6,34.7,26.19,263368945664,110292992
1606651266.3599741,35.0,3.1,61.0,0.9,39.0,28.1,263291265024,110292992
1606651267.3618762,33.4,3.2,62.8,0.7,37.2,28.1,262913449984,110292992
1606651268.3633037,38.5,2.5,58.6,0.4,41.4,28.1,262893932544,110292992
1606651269.3652031,39.7,3.4,56.7,0.2,43.3,28.1,262976446464,110292992
1606651270.367309,34.3,2.8,62.6,0.3,37.4,30.98,262794215424,110292992
1606651271.36952,38.6,4.7,56.5,0.2,43.5,30.98,262928326656,110292992
1606651272.3714128,39.5,3.9,56.5,0.1,43.4,30.98,262647623680,110292992
1606651273.3735173,42.4,3.4,53.7,0.5,46.3,30.98,262610128896,110292992
1606651274.375554,42.7,1.7,55.2,0.4,44.8,30.98,262707830784,110292992
1606651275.3774407,40.7,1.8,56.8,0.8,43.2,31.78,262905589760,110292992
1606651276.379554,33.9,1.2,64.2,0.7,35.8,31.78,263144030208,110292992
1606651277.3814423,35.7,2.9,60.5,0.8,39.5,31.78,263580008448,110292992
1606651278.3833237,30.7,2.8,65.8,0.7,34.2,31.78,263245164544,110292992
1606651279.3851802,30.1,2.2,67.3,0.4,32.7,31.78,263175892992,110292992
1606651280.3870206,27.6,3.8,67.9,0.7,32.2,32.44,263106330624,110292992
1606651281.3890257,25.4,3.4,70.7,0.5,29.2,32.44,263416786944,110292992
1606651282.3908982,31.2,2.3,66.1,0.4,33.9,32.44,263506141184,110292992
1606651283.3928282,32.3,2.7,64.3,0.7,35.7,32.44,263209799680,110292992
1606651284.394674,30.4,2.2,66.9,0.5,33.1,32.44,263070179328,110292992
1606651285.3966064,31.0,2.7,66.1,0.3,33.9,33.36,263392985088,110292992
1606651286.398518,33.7,3.8,61.8,0.7,38.2,33.36,262977220608,110292992
1606651287.4003987,40.5,3.7,55.4,0.4,44.5,33.36,262871711744,110292992
1606651288.402238,40.7,1.6,57.5,0.2,42.5,33.36,262601105408,110292992
1606651289.4035554,39.1,2.7,57.4,0.8,42.6,33.36,262365081600,110292992
1606651290.405414,34.6,4.1,61.0,0.3,39.0,34.54,262461280256,110292992
