#cpu_count: 64
#total_mem: 270332968960
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1606600389.239815,1.0,0.0,23.0,0.0,4.0,0.0,265856794624,110354432
1606600390.2414804,0.0,0.0,100.0,0.0,0.0,0.0,265857249280,110354432
1606600391.2435267,0.0,0.0,100.0,0.0,0.0,0.0,265857249280,110354432
1606600392.2454622,0.0,0.0,100.0,0.0,0.0,0.0,265857257472,110354432
1606600393.2474043,0.0,0.0,100.0,0.0,0.0,0.0,265857257472,110354432
1606600394.249391,0.0,0.0,100.0,0.0,0.0,0.0,265857257472,110354432
1606600395.2513301,0.0,0.0,100.0,0.0,0.0,0.0,265857003520,110354432
1606600396.2532675,0.0,0.0,100.0,0.0,0.0,0.0,265857003520,110354432
1606600397.2552059,0.0,0.0,100.0,0.0,0.0,0.0,265856970752,110354432
1606600398.2572238,0.0,0.0,100.0,0.0,0.0,0.0,265857003520,110354432
1606600399.2591982,0.0,0.0,100.0,0.0,0.0,0.0,265856970752,110354432
1606600400.261181,0.0,0.0,100.0,0.0,0.0,0.0,265857003520,110354432
1606600401.2631648,0.0,0.0,100.0,0.0,0.0,0.0,265856970752,110354432
1606600402.26519,0.0,0.0,100.0,0.0,0.0,0.0,265857368064,110354432
1606600403.2671294,0.0,0.0,100.0,0.0,0.0,0.0,265857339392,110354432
1606600404.2690992,0.0,0.0,100.0,0.0,0.0,0.0,265857372160,110354432
1606600405.2710366,0.0,0.0,99.9,0.0,0.1,0.0,265856495616,110354432
1606600406.272928,0.6,0.3,99.1,0.0,0.9,0.0,265820585984,110354432
1606600407.2747283,3.1,1.7,94.8,0.3,5.2,0.0,265635360768,110354432
1606600408.2765899,4.6,1.0,94.1,0.4,5.9,0.0,265544589312,110354432
1606600409.2784007,9.6,0.7,89.2,0.6,10.8,0.0,265493819392,110354432
1606600410.2792964,10.0,1.2,88.3,0.5,11.7,1.12,265332846592,110354432
1606600411.280686,12.6,1.9,85.1,0.5,14.9,1.12,265209675776,110354432
1606600412.2831562,16.6,1.5,81.5,0.4,18.5,1.12,265095589888,110354432
1606600413.2853112,24.3,2.3,72.9,0.5,27.1,1.12,264910446592,110354432
1606600414.2872922,27.7,2.0,69.9,0.4,30.1,1.12,264738414592,110354432
