workloadID, workload argument, run, tFC, tVM
0,1000000,0,4165,451
0,1000000,1,4164,451
0,1000000,2,4162,451
0,1000000,3,4163,452
0,1000000,4,4157,452
0,1000000,5,4163,451
0,1000000,6,4167,451
0,1000000,7,4163,451
0,1000000,8,4163,451
0,1000000,9,4159,451
0,2500000,0,5379,1666
0,2500000,1,5375,1666
0,2500000,2,5371,1665
0,2500000,3,5375,1666
0,2500000,4,5379,1666
0,2500000,5,5375,1666
0,2500000,6,5371,1665
0,2500000,7,5379,1665
0,2500000,8,5371,1665
0,2500000,9,5371,1666
0,4000000,0,6963,3254
0,4000000,1,6967,3255
0,4000000,2,6963,3254
0,4000000,3,6960,3255
0,4000000,4,6971,3255
0,4000000,5,6966,3254
0,4000000,6,6967,3254
0,4000000,7,6959,3254
0,4000000,8,6967,3254
0,4000000,9,6963,3255
0,5500000,0,8875,5158
0,5500000,1,8866,5157
0,5500000,2,8867,5158
0,5500000,3,8863,5157
0,5500000,4,8867,5157
0,5500000,5,8863,5157
0,5500000,6,8868,5157
0,5500000,7,8863,5158
0,5500000,8,8871,5158
0,5500000,9,8867,5157
0,7000000,0,10967,7286
0,7000000,1,10995,7288
0,7000000,2,10999,7286
0,7000000,3,10995,7289
0,7000000,4,11003,7290
0,7000000,5,11001,7290
0,7000000,6,10998,7290
0,7000000,7,10995,7288
0,7000000,8,10999,7290
0,7000000,9,10999,7290
0,8500000,0,13323,9614
0,8500000,1,13323,9610
0,8500000,2,13327,9610
0,8500000,3,13326,9610
0,8500000,4,13322,9608
0,8500000,5,13317,9607
0,8500000,6,13322,9608
0,8500000,7,13319,9614
0,8500000,8,13315,9606
0,8500000,9,13314,9608
1,4096,0,4945,0
1,4096,1,4927,0
1,4096,2,4931,0
1,4096,3,4934,0
1,4096,4,4930,0
1,4096,5,4842,0
1,4096,6,4923,0
1,4096,7,4927,0
1,4096,8,4919,0
1,4096,9,4919,0
1,2048,0,4927,0
1,2048,1,4927,0
1,2048,2,4927,0
1,2048,3,4974,0
1,2048,4,4934,0
1,2048,5,4930,0
1,2048,6,4934,0
1,2048,7,4930,0
1,2048,8,4926,0
1,2048,9,4934,0
1,1024,0,4934,0
1,1024,1,4926,0
1,1024,2,4934,0
1,1024,3,4930,0
1,1024,4,4922,0
1,1024,5,4923,0
1,1024,6,4923,0
1,1024,7,4930,0
1,1024,8,4934,0
1,1024,9,4938,0
1,512,0,4894,0
1,512,1,4927,0
1,512,2,4927,0
1,512,3,4930,0
1,512,4,4926,0
1,512,5,4923,0
1,512,6,4927,0
1,512,7,4931,0
1,512,8,4971,0
1,512,9,4927,0
1,256,0,4923,0
1,256,1,4927,0
1,256,2,4919,0
1,256,3,4926,0
1,256,4,4926,0
1,256,5,4934,0
1,256,6,4930,0
1,256,7,4842,0
1,256,8,4934,0
1,256,9,4938,0
1,128,0,4934,0
1,128,1,4930,0
1,128,2,4927,0
1,128,3,4927,0
1,128,4,4851,0
1,128,5,4927,0
1,128,6,4927,0
1,128,7,4919,0
1,128,8,4927,0
1,128,9,4930,0
1,10,0,3953,242
1,10,1,3955,242
1,10,2,3951,242
1,10,3,3951,242
1,10,4,3955,242
1,10,5,3951,242
1,10,6,3951,242
1,10,7,3952,242
1,10,8,3951,242
1,10,9,3955,242
1,1,0,3742,33
1,1,1,3747,33
1,1,2,3746,33
1,1,3,3746,33
1,1,4,3746,33
1,1,5,3745,33
1,1,6,3746,33
1,1,7,3750,33
1,1,8,3746,33
1,1,9,3742,33
2,10,0,4006,270
2,10,1,3999,269
2,10,2,4003,268
2,10,3,3999,268
2,10,4,4003,269
2,10,5,3999,268
2,10,6,3999,269
2,10,7,3999,267
2,10,8,3999,268
2,10,9,3999,268
2,20,0,4160,426
2,20,1,4159,426
2,20,2,4163,425
2,20,3,4159,427
2,20,4,4171,427
2,20,5,4159,425
2,20,6,4160,428
2,20,7,4159,425
2,20,8,4167,426
2,20,9,4159,426
2,40,0,4475,743
2,40,1,4443,745
2,40,2,4475,744
2,40,3,4475,740
2,40,4,4475,743
2,40,5,4479,745
2,40,6,4475,740
2,40,7,4447,743
2,40,8,4475,746
2,40,9,4479,744
2,80,0,5107,1376
2,80,1,5111,1379
2,80,2,5119,1378
2,80,3,5115,1377
2,80,4,5107,1374
2,80,5,5123,1378
2,80,6,5114,1375
2,80,7,5122,1380
2,80,8,5122,1381
2,80,9,5114,1379
2,160,0,6379,2645
2,160,1,6379,2649
2,160,2,6379,2642
2,160,3,6383,2648
2,160,4,6375,2643
2,160,5,6379,2649
2,160,6,6375,2644
2,160,7,6367,2633
2,160,8,6367,2632
2,160,9,6387,2646
2,320,0,8931,5198
2,320,1,8895,5164
2,320,2,8914,5179
2,320,3,8910,5174
2,320,4,8903,5167
2,320,5,8923,5187
2,320,6,8915,5182
2,320,7,8919,5189
2,320,8,8899,5170
2,320,9,8891,5160
