workloadID, workload argument, tFC, tVM, start time
1,512,4559,0,1603111262
2,10,4107,328,1603111263
2,20,4251,487,1603111263
0,4000000,6997,3258,1603111265
2,40,5179,1367,1603111268
2,40,4566,810,1603111268
2,40,5135,1305,1603111268
0,1000000,4307,563,1603111269
2,10,4052,272,1603111270
0,2500000,5444,1667,1603111270
2,320,9598,5857,1603111267
1,2048,4595,0,1603111273
0,7000000,10921,7298,1603111268
1,512,4591,0,1603111275
2,10,4149,327,1603111276
0,7000000,11051,7299,1603111270
2,10,4141,335,1603111277
0,8500000,13485,9628,1603111268
2,320,9087,5349,1603111273
1,2048,4636,0,1603111278
0,4000000,7024,3260,1603111276
2,160,6512,2735,1603111277
1,512,4629,0,1603111279
1,10,3959,243,1603111282
1,10,3983,242,1603111282
1,4096,4633,0,1603111283
2,80,5160,1389,1603111283
1,1,3783,33,1603111287
0,2500000,5420,1667,1603111286
2,160,6353,2613,1603111285
0,5500000,8923,5165,1603111283
0,7000000,11045,7296,1603111281
2,80,5164,1385,1603111288
0,8500000,13390,9622,1603111280
0,4000000,6936,3257,1603111287
0,8500000,13370,9625,1603111282
0,7000000,11015,7295,1603111285
0,4000000,7013,3256,1603111293
2,320,8930,5193,1603111293
1,256,4595,0,1603111299
1,1,3751,34,1603111302
1,10,3958,243,1603111302
0,5500000,8876,5162,1603111298
0,1000000,4621,904,1603111302
1,1024,4877,0,1603111304
0,7000000,11015,7296,1603111298
1,128,4819,0,1603111304
1,512,4873,0,1603111304
1,10,3999,240,1603111305
0,4000000,6984,3260,1603111302
0,4000000,7006,3264,1603111303
2,40,4554,816,1603111306
0,4000000,7070,3262,1603111305
2,40,5651,1812,1603111306
0,2500000,5614,1673,1603111307
2,320,10579,6843,1603111302
2,20,4258,516,1603111309
2,40,4607,871,1603111309
2,160,9044,5233,1603111305
2,80,6073,2198,1603111309
2,10,4158,510,1603111312
1,1,3873,40,1603111314
1,4096,4808,0,1603111313
2,320,12411,8600,1603111306
0,1000000,4269,452,1603111314
2,160,7080,3417,1603111312
2,20,4208,422,1603111315
0,8500000,13347,9633,1603111306
0,4000000,7060,3261,1603111313
0,1000000,4202,453,1603111317
0,5500000,8962,5167,1603111312
0,5500000,8954,5169,1603111313
0,8500000,13888,9632,1603111308
2,40,4808,1032,1603111319
1,512,4574,0,1603111319
2,160,7481,3698,1603111316
2,160,7313,3674,1603111317
1,4096,4571,0,1603111320
1,10,3995,238,1603111321
2,40,4870,1088,1603111322
0,4000000,6990,3256,1603111319
2,10,4298,474,1603111322
2,160,6720,2914,1603111321
0,4000000,7003,3258,1603111321
0,1000000,4222,452,1603111324
1,10,4001,242,1603111325
2,80,5806,1995,1603111324
0,7000000,11024,7293,1603111319
1,256,4487,0,1603111326
0,8500000,13332,9625,1603111318
0,1000000,4162,451,1603111329
0,8500000,13369,9613,1603111320
1,512,4574,0,1603111332
1,2048,4770,0,1603111333
1,128,4808,0,1603111333
0,2500000,5425,1667,1603111333
1,512,4994,0,1603111334
0,8500000,13390,9624,1603111326
1,512,4675,0,1603111335
1,128,4895,0,1603111335
0,2500000,5353,1669,1603111336
1,4096,4630,0,1603111336
2,160,7243,3489,1603111334
2,160,7331,3515,1603111334
1,10,3992,239,1603111338
1,4096,4456,0,1603111339
0,2500000,5409,1668,1603111338
2,320,9249,5478,1603111334
2,20,4307,547,1603111341
0,8500000,13384,9623,1603111332
2,40,4678,903,1603111341
2,40,4675,897,1603111341
0,1000000,4279,452,1603111343
0,4000000,7018,3260,1603111341
0,2500000,5430,1668,1603111343
0,5500000,8918,5163,1603111340
2,320,9196,5456,1603111341
0,4000000,7051,3259,1603111343
0,5500000,8931,5164,1603111342
2,160,7294,3511,1603111345
2,10,4107,323,1603111349
2,20,4207,440,1603111349
2,10,4065,279,1603111350
2,320,10099,6348,1603111344
2,40,4661,899,1603111350
1,128,4722,0,1603111351
1,256,4724,0,1603111351
0,4000000,7075,3260,1603111349
