workloadID, workload argument, tFC, tVM, start time
1,512,3717,0,1603018430
1,512,3999,0,1603018431
1,1,3739,34,1603018431
1,256,3991,0,1603018433
1,512,3999,0,1603018433
1,10,3956,242,1603018434
1,128,4533,0,1603018435
1,256,4002,0,1603018436
1,2048,4022,0,1603018437
1,128,4002,0,1603018438
1,10,3992,270,1603018439
1,4096,4051,0,1603018439
1,10,3963,242,1603018439
1,1024,4044,0,1603018439
1,1024,3997,0,1603018440
1,2048,4031,0,1603018440
1,1,3654,33,1603018443
1,512,4044,0,1603018444
1,4096,3990,0,1603018445
1,4096,4019,0,1603018446
1,4096,3871,0,1603018446
1,2048,4019,0,1603018446
1,1,3766,37,1603018448
1,4096,4025,0,1603018448
1,256,4000,0,1603018448
1,10,3952,243,1603018449
1,2048,3998,0,1603018451
1,4096,4005,0,1603018452
1,10,3968,243,1603018454
1,1,3739,34,1603018455
1,2048,4103,0,1603018456
1,512,4116,0,1603018456
1,2048,4072,0,1603018456
1,1024,3992,0,1603018456
1,512,3987,0,1603018457
1,10,4009,261,1603018457
1,4096,4060,0,1603018457
1,128,4036,0,1603018457
1,512,4031,0,1603018459
1,1,3661,33,1603018461
1,4096,3997,0,1603018462
1,1024,3992,0,1603018463
1,4096,3988,0,1603018463
1,2048,4031,0,1603018464
1,1,4175,34,1603018464
1,10,4031,277,1603018464
1,256,4004,0,1603018464
1,128,4052,0,1603018465
1,1024,4061,0,1603018465
1,10,4000,242,1603018465
1,256,4036,0,1603018466
1,4096,4023,0,1603018466
1,128,4045,0,1603018467
1,512,4045,0,1603018467
1,256,3852,0,1603018467
1,128,3901,0,1603018468
1,1024,4026,0,1603018468
1,512,3995,0,1603018470
1,1,3783,33,1603018472
1,128,4027,0,1603018472
1,4096,4015,0,1603018472
1,1024,3991,0,1603018474
1,10,3966,243,1603018475
1,10,3979,242,1603018476
1,2048,4030,0,1603018476
1,2048,4038,0,1603018476
1,2048,3991,0,1603018477
1,2048,4034,0,1603018477
1,2048,4562,0,1603018477
1,1,3783,33,1603018479
1,512,3889,0,1603018480
1,10,3974,262,1603018480
1,512,4022,0,1603018480
1,4096,4062,0,1603018480
1,1024,4045,0,1603018480
1,1,3756,34,1603018481
1,2048,4021,0,1603018482
1,4096,3992,0,1603018483
1,1,3788,33,1603018484
1,2048,3989,0,1603018484
1,4096,3989,0,1603018484
1,4096,4022,0,1603018485
1,1,3775,34,1603018485
1,2048,3997,0,1603018486
1,1,3773,33,1603018487
1,10,3953,243,1603018487
1,512,4001,0,1603018488
1,4096,4056,0,1603018489
1,2048,4021,0,1603018489
1,2048,4207,0,1603018489
1,1024,4217,0,1603018489
1,256,4231,0,1603018489
1,1,3746,33,1603018491
1,4096,3991,0,1603018492
1,4096,3991,0,1603018495
1,512,3964,0,1603018495
1,128,4072,0,1603018495
1,4096,4012,0,1603018495
1,2048,4038,0,1603018496
1,2048,3984,0,1603018497
1,2048,3997,0,1603018497
1,128,4059,0,1603018498
1,256,4055,0,1603018498
1,1024,3859,0,1603018498
1,10,3987,245,1603018499
1,1,3790,36,1603018499
1,10,4008,242,1603018499
1,4096,3984,0,1603018501
1,128,4058,0,1603018502
1,2048,4055,0,1603018502
1,128,3849,0,1603018504
1,4096,3851,0,1603018505
1,256,4011,0,1603018505
1,128,3986,0,1603018506
1,4096,3992,0,1603018507
1,512,3985,0,1603018508
1,512,4019,0,1603018509
1,4096,3994,0,1603018510
1,128,4040,0,1603018511
1,128,4046,0,1603018511
1,1,3739,33,1603018512
1,2048,3996,0,1603018513
1,1,3705,33,1603018514
1,512,3986,0,1603018515
1,128,4026,0,1603018516
1,4096,3991,0,1603018516
1,4096,4044,0,1603018518
1,2048,4008,0,1603018518
1,10,3991,242,1603018518
1,2048,3991,0,1603018519
1,512,4049,0,1603018520
1,512,4049,0,1603018520
1,2048,4080,0,1603018520
1,128,4123,0,1603018520
1,256,4169,0,1603018520
1,4096,4011,0,1603018522
1,4096,3995,0,1603018523
1,128,3996,0,1603018524
1,1,3782,33,1603018525
1,4096,3850,0,1603018525
1,256,3986,0,1603018529
1,1,3782,33,1603018530
1,512,3981,0,1603018530
1,1,3748,33,1603018530
1,1,3769,49,1603018533
1,512,4040,0,1603018533
1,256,4056,0,1603018533
1,4096,4014,0,1603018534
1,10,4009,263,1603018534
1,1024,3991,0,1603018535
1,1,3748,33,1603018539
1,128,3992,0,1603018539
1,10,3996,243,1603018541
1,512,3859,0,1603018542
1,10,4011,254,1603018542
1,128,4023,0,1603018543
1,512,3903,0,1603018543
1,1,3789,34,1603018543
1,1,3777,37,1603018544
1,128,4000,0,1603018543
1,512,3999,0,1603018546
1,4096,4019,0,1603018548
1,128,4016,0,1603018548
1,4096,4059,0,1603018548
1,1024,4067,0,1603018548
1,256,4013,0,1603018549
1,256,4005,0,1603018550
1,1024,3986,0,1603018551
1,10,3986,242,1603018552
1,128,3991,0,1603018555
1,2048,4005,0,1603018556
1,2048,4011,0,1603018556
1,128,4005,0,1603018558
1,4096,4002,0,1603018558
1,512,3996,0,1603018559
1,128,3985,0,1603018562
1,10,3982,243,1603018563
1,256,3989,0,1603018564
1,128,3992,0,1603018565
1,10,3949,242,1603018567
1,1,3740,33,1603018567
1,10,3947,242,1603018568
1,1,3748,34,1603018568
1,512,4021,0,1603018569
1,1,3756,34,1603018570
1,256,4015,0,1603018570
1,256,4032,0,1603018572
1,256,4054,0,1603018573
1,4096,4043,0,1603018573
1,10,4006,249,1603018573
1,1024,4025,0,1603018573
1,4096,3995,0,1603018573
1,128,3999,0,1603018575
1,256,3990,0,1603018576
1,256,3882,0,1603018577
