#cpu_count: 36
#total_mem: 202471645184
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1610015795.785375,0.0,0.0,13.0,0.0,0.0,0.27,200350928896,0
1610015796.785847,0.0,0.0,100.0,0.0,0.0,0.27,200350482432,0
1610015797.7863615,0.1,0.0,99.9,0.0,0.1,0.27,200348393472,0
1610015798.786846,2.5,2.0,95.0,0.5,4.9,0.73,200105971712,0
1610015799.7874298,9.8,3.2,86.5,0.5,13.5,0.73,199775625216,0
1610015800.7879636,29.3,7.5,62.6,0.6,37.4,0.73,198927110144,0
1610015801.7884743,52.8,5.0,42.0,0.2,58.0,0.73,198403047424,0
1610015802.7890403,81.5,7.0,11.4,0.0,88.6,0.73,197916807168,0
1610015803.789605,89.5,3.4,7.1,0.0,92.9,6.6,197764374528,0
1610015804.7901647,71.7,5.4,22.8,0.2,77.2,6.6,197592752128,0
1610015805.7907126,64.9,6.7,28.4,0.0,71.6,6.6,197437530112,0
1610015806.7912543,87.5,5.3,7.1,0.0,92.9,6.6,197506379776,0
1610015807.7918668,89.2,4.3,6.5,0.0,93.5,6.6,197613723648,0
1610015808.792425,74.4,5.5,20.1,0.0,79.9,11.36,197492858880,0
1610015809.7929707,64.0,6.0,29.9,0.1,70.1,11.36,197814378496,0
1610015810.7935638,67.7,6.3,25.9,0.0,74.1,11.36,197651316736,0
1610015811.7941208,78.1,6.9,14.7,0.3,85.3,11.36,197404467200,0
1610015812.7950869,90.4,4.7,4.9,0.0,95.1,11.36,197449494528,0
1610015813.7957222,86.1,7.2,6.6,0.0,93.4,16.61,197075959808,0
1610015814.797462,88.3,6.7,5.0,0.0,95.0,16.61,197133225984,0
1610015815.7981017,88.6,6.1,5.3,0.0,94.7,16.61,196816879616,0
1610015816.798759,81.8,5.1,12.3,0.8,86.9,16.61,196756074496,0
1610015817.7994323,76.2,6.3,17.4,0.2,82.6,16.61,196184399872,0
1610015818.8000312,80.3,8.6,10.2,0.9,88.9,21.61,197147045888,0
1610015819.80066,79.2,4.7,16.0,0.2,83.9,21.61,197263101952,0
1610015820.8012972,71.5,5.4,22.9,0.1,76.9,21.61,197379944448,0
1610015821.8020036,66.6,5.3,27.3,0.8999999999999999,72.5,21.61,197295980544,0
1610015822.802713,67.6,5.2,26.2,1.0,72.8,21.61,197036302336,0
1610015823.80337,67.9,5.0,25.7,1.5,72.9,27.17,197810143232,0
1610015824.8039932,71.3,7.8,19.3,1.5999999999999999,79.2,27.17,197773934592,0
1610015825.8046434,75.2,4.6,19.3,1.0,79.8,27.17,197686018048,0
