Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
Setting cpu: 20
Setting cpu: 21
Setting cpu: 22
Setting cpu: 23
Setting cpu: 24
Setting cpu: 25
Setting cpu: 26
Setting cpu: 27
Setting cpu: 28
Setting cpu: 29
Setting cpu: 30
Setting cpu: 31
Setting cpu: 32
Setting cpu: 33
Setting cpu: 34
Setting cpu: 35
workloadID, workload argument, run, tFC, tVM
0,1000000,0,3765,200
0,1000000,1,3567,187
0,1000000,2,3571,187
0,1000000,3,3571,187
0,1000000,4,3571,187
0,1000000,5,3572,187
0,1000000,6,3571,187
0,1000000,7,3576,187
0,1000000,8,3570,187
0,1000000,9,3567,187
0,2500000,0,4055,670
0,2500000,1,4055,670
0,2500000,2,4054,670
0,2500000,3,4056,670
0,2500000,4,4055,670
0,2500000,5,4055,670
0,2500000,6,4055,670
0,2500000,7,4051,671
0,2500000,8,4059,671
0,2500000,9,4055,671
0,4000000,0,4679,1296
0,4000000,1,4679,1296
0,4000000,2,4679,1296
0,4000000,3,4687,1297
0,4000000,4,4679,1296
0,4000000,5,4683,1296
0,4000000,6,4683,1296
0,4000000,7,4679,1296
0,4000000,8,4683,1296
0,4000000,9,4679,1296
0,5500000,0,5412,2029
0,5500000,1,5411,2029
0,5500000,2,5412,2029
0,5500000,3,5411,2029
0,5500000,4,5415,2029
0,5500000,5,5415,2029
0,5500000,6,5420,2030
0,5500000,7,5415,2029
0,5500000,8,5412,2029
0,5500000,9,5411,2029
0,7000000,0,6267,2851
0,7000000,1,6232,2851
0,7000000,2,6235,2851
0,7000000,3,6235,2851
0,7000000,4,6232,2851
0,7000000,5,6235,2851
0,7000000,6,6240,2851
0,7000000,7,6235,2851
0,7000000,8,6236,2851
0,7000000,9,6243,2851
0,8500000,0,7139,3750
0,8500000,1,7138,3750
0,8500000,2,7131,3750
0,8500000,3,7131,3750
0,8500000,4,7135,3750
0,8500000,5,7135,3751
0,8500000,6,7131,3750
0,8500000,7,7135,3750
0,8500000,8,7136,3750
0,8500000,9,7131,3750
2,10,0,3753,352
2,10,1,3743,342
2,10,2,3747,351
2,10,3,3739,342
2,10,4,3748,350
2,10,5,3751,351
2,10,6,3732,336
2,10,7,3779,350
2,10,8,3743,345
2,10,9,3731,335
2,20,0,3952,553
2,20,1,3967,570
2,20,2,3932,535
2,20,3,3963,564
2,20,4,3959,559
2,20,5,3935,535
2,20,6,3967,571
2,20,7,3952,554
2,20,8,3959,559
2,20,9,3955,555
2,40,0,4423,1022
2,40,1,4356,958
2,40,2,4372,972
2,40,3,4383,978
2,40,4,4372,977
2,40,5,4427,1024
2,40,6,4419,1022
2,40,7,4428,1030
2,40,8,4376,977
2,40,9,4343,946
2,80,0,5163,1764
2,80,1,5316,1918
2,80,2,5263,1863
2,80,3,5219,1822
2,80,4,5256,1856
2,80,5,5308,1911
2,80,6,5323,1927
2,80,7,5252,1857
2,80,8,5232,1836
2,80,9,5283,1887
2,160,0,7044,3647
2,160,1,6936,3539
2,160,2,6872,3473
2,160,3,6916,3520
2,160,4,7147,3720
2,160,5,6828,3426
2,160,6,6947,3552
2,160,7,6900,3503
2,160,8,7055,3655
2,160,9,6819,3419
2,320,0,10548,7150
2,320,1,10308,6911
2,320,2,10624,7226
2,320,3,10539,7140
2,320,4,10440,7041
2,320,5,10699,7271
2,320,6,10447,7051
2,320,7,10464,7066
2,320,8,10683,7285
2,320,9,10679,7283
