#cpu_count: 36
#total_mem: 202471641088
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1610302790.6935878,0.0,0.0,23.0,0.0,0.0,1.55,200460881920,0
1610302791.6940408,0.0,0.0,100.0,0.0,0.0,1.55,200460697600,0
1610302792.6948047,0.2,0.0,99.7,0.0,0.2,1.55,200449728512,0
1610302793.6956584,1.9,1.7,96.4,0.0,3.6,1.55,200257409024,0
1610302794.6964543,9.0,3.9,87.1,0.0,12.9,1.75,199482331136,0
1610302795.6970627,27.6,4.8,67.6,0.0,32.4,1.75,198425587712,0
1610302796.6978805,36.1,3.1,60.7,0.2,39.5,1.75,197492391936,0
1610302797.6991045,49.5,2.1,47.6,0.8,52.3,1.75,197615755264,0
1610302798.7004998,56.0,2.5,40.7,0.8,59.3,1.75,197263286272,0
1610302799.7016666,49.2,3.9,46.3,0.6,53.7,5.05,196652875776,0
1610302800.7025986,61.3,4.9,33.4,0.4,66.6,5.05,196324614144,0
1610302801.7035193,69.2,5.0,25.7,0.1,74.3,5.05,195752185856,0
1610302802.7044253,76.7,4.0,19.3,0.0,80.7,5.05,195457429504,0
1610302803.7091908,90.4,5.7,3.9,0.0,96.1,5.05,195348619264,0
1610302804.7150652,87.6,6.7,5.6,0.1,94.3,11.22,194638315520,0
1610302805.7164693,90.3,6.0,3.7,0.0,96.3,11.22,193845616640,0
1610302806.7312453,89.7,5.9,4.4,0.0,95.6,11.22,193663344640,0
1610302807.7542982,93.4,2.1,4.5,0.0,95.5,11.22,193718792192,0
1610302808.755686,92.8,2.7,4.5,0.0,95.5,11.22,193502433280,0
1610302809.7586994,87.4,8.0,4.5,0.0,95.5,18.49,193447071744,0
1610302810.7817965,88.6,6.9,4.5,0.0,95.5,18.49,193371664384,0
1610302811.7866604,90.9,4.6,4.5,0.0,95.5,18.49,193428545536,0
1610302812.7888346,91.7,3.5,4.7,0.0,95.3,18.49,193427001344,0
1610302813.7919147,91.2,4.2,4.6,0.0,95.4,18.49,192775012352,0
1610302814.7940094,89.7,5.7,4.6,0.0,95.4,22.53,192626839552,0
1610302815.797134,91.5,4.0,4.5,0.0,95.4,22.53,192064147456,0
1610302816.7985804,90.9,4.5,4.6,0.0,95.4,22.53,191918096384,0
1610302817.7998388,90.2,5.2,4.6,0.0,95.4,22.53,193104801792,0
1610302818.8016808,89.6,5.8,4.6,0.0,95.4,22.53,192945065984,0
1610302819.8275487,92.6,3.0,4.4,0.0,95.6,26.01,192396550144,0
1610302820.828864,91.8,3.3,4.9,0.0,95.1,26.01,192291332096,0
1610302821.8306978,88.9,6.8,4.3,0.0,95.7,26.01,192663752704,0
1610302822.8324523,89.5,5.9,4.6,0.0,95.4,26.01,192185253888,0
1610302823.834051,91.8,3.5,4.6,0.0,95.4,26.01,191497326592,0
1610302824.8363981,92.5,2.9,4.6,0.0,95.4,30.9,191414726656,0
1610302825.8465717,91.1,4.3,4.5,0.0,95.5,30.9,191887917056,0
1610302826.8479388,90.8,4.6,4.6,0.0,95.4,30.9,191652634624,0
1610302827.8504205,90.4,5.1,4.5,0.0,95.5,30.9,191631998976,0
1610302828.8519354,89.2,6.2,4.6,0.0,95.4,30.9,191766310912,0
1610302829.8533797,89.6,5.8,4.5,0.0,95.5,34.27,192035323904,0
1610302830.8585925,90.8,4.7,4.5,0.0,95.5,34.27,192127799296,0
1610302831.8600206,88.7,6.8,4.5,0.0,95.5,34.27,191641190400,0
1610302832.8787541,91.2,4.4,4.4,0.0,95.6,34.27,191370010624,0
1610302833.8803325,93.9,1.5,4.6,0.0,95.4,34.27,191160074240,0
1610302834.8866348,91.0,4.4,4.6,0.0,95.4,38.33,191495430144,0
1610302835.888583,92.1,3.4,4.5,0.0,95.5,38.33,191105794048,0
1610302836.8904366,92.5,2.9,4.6,0.0,95.4,38.33,191039492096,0
1610302837.8952067,91.8,3.6,4.5,0.0,95.5,38.33,190999900160,0
1610302838.89845,89.9,5.5,4.6,0.0,95.4,38.33,190891208704,0
1610302839.9011853,89.8,5.6,4.5,0.0,95.5,43.27,191030919168,0
1610302840.9034593,89.4,6.0,4.5,0.0,95.5,43.27,191117819904,0
1610302841.9125886,91.4,4.0,4.5,0.0,95.5,43.27,190770196480,0
1610302842.914223,92.7,2.8,4.6,0.0,95.4,43.27,190838505472,0
1610302843.9156833,92.4,3.0,4.6,0.0,95.4,43.27,190632808448,0
1610302844.9170506,90.1,5.3,4.6,0.0,95.4,49.49,190382645248,0
1610302845.9185212,92.6,2.8,4.6,0.0,95.4,49.49,189939208192,0
1610302846.9200206,90.4,5.0,4.6,0.0,95.4,49.49,189731835904,0
1610302847.9221492,91.3,4.1,4.5,0.0,95.5,49.49,189446369280,0
1610302848.9236717,90.6,4.8,4.6,0.0,95.4,49.49,189285306368,0
1610302849.9474266,92.1,3.5,4.4,0.0,95.6,56.1,188890206208,0
1610302850.9509833,93.2,2.2,4.6,0.0,95.4,56.1,189119819776,0
1610302851.953269,90.8,4.6,4.6,0.0,95.4,56.1,189401325568,0
1610302852.9546516,91.5,3.9,4.6,0.0,95.4,56.1,189400379392,0
1610302853.9597967,89.1,6.4,4.5,0.0,95.5,56.1,189556322304,0
1610302854.9668665,87.9,6.8,5.3,0.0,94.7,59.14,189314158592,0
1610302855.9696813,91.3,4.9,3.8,0.0,96.2,59.14,189059108864,0
1610302856.9859257,91.9,3.7,4.4,0.0,95.6,59.14,188386234368,0
1610302857.9916518,90.7,4.6,4.7,0.0,95.3,59.14,189295394816,0
1610302859.034123,90.8,4.9,4.2,0.0,95.8,59.14,189841838080,0
1610302860.0366628,92.5,2.9,4.6,0.0,95.4,61.77,189719539712,0
1610302861.0438566,91.2,4.2,4.6,0.0,95.4,61.77,189106937856,0
1610302862.046838,88.7,6.8,4.5,0.0,95.5,61.77,189140819968,0
1610302863.051973,88.7,6.8,4.5,0.0,95.5,61.77,188508852224,0
1610302864.0536065,90.2,5.3,4.5,0.0,95.5,61.77,188246040576,0
1610302865.0669966,92.0,3.5,4.5,0.0,95.5,66.43,187728461824,0
1610302866.0684614,92.5,2.9,4.6,0.0,95.4,66.43,187527766016,0
1610302867.069813,90.1,5.4,4.5,0.0,95.5,66.43,187997822976,0
1610302868.0725121,91.6,3.9,4.5,0.0,95.5,66.43,187663470592,0
1610302869.0964305,91.7,3.9,4.4,0.0,95.6,66.43,187710578688,0
1610302870.1180024,91.7,3.9,4.5,0.0,95.5,73.92,187671748608,0
1610302871.11995,89.0,6.4,4.6,0.0,95.4,73.92,187282436096,0
1610302872.1233292,88.6,7.0,4.4,0.0,95.6,73.92,187869487104,0
1610302873.1257808,91.2,4.4,4.4,0.0,95.6,73.92,187890655232,0
1610302874.2526968,92.8,3.1,4.1,0.0,95.9,81.46,187419873280,0
1610302875.384684,94.6,1.4,4.1,0.0,95.9,81.46,187589976064,0
1610302876.4372718,91.4,4.3,4.3,0.0,95.7,81.46,187515662336,0
1610302877.4426396,88.6,6.9,4.5,0.0,95.5,81.46,187693453312,0
1610302878.446454,89.6,5.9,4.5,0.0,95.5,81.46,187326164992,0
1610302879.4612274,90.8,4.7,4.5,0.0,95.5,85.03,186919636992,0
1610302880.5602872,87.8,3.9,8.3,0.0,91.7,85.03,186392842240,0
1610302881.6507723,93.3,2.6,4.2,0.0,95.8,85.03,186925424640,0
1610302882.6866767,93.0,2.5,4.4,0.0,95.6,85.03,186615721984,0
1610302883.7633123,91.1,4.7,4.2,0.0,95.8,85.03,186829664256,0
1610302884.7721722,89.9,5.6,4.5,0.0,95.5,87.83,187369881600,0
1610302885.7737224,88.4,7.0,4.5,0.0,95.5,87.83,187668889600,0
1610302886.8535721,89.0,6.9,4.2,0.0,95.8,87.83,187372986368,0
1610302887.9165685,90.7,5.0,4.3,0.0,95.7,87.83,186576801792,0
1610302888.920758,89.2,6.3,4.5,0.0,95.5,87.83,186365104128,0
1610302889.9226286,91.3,4.2,4.5,0.0,95.5,89.68,185854726144,0
1610302890.924123,90.4,5.0,4.5,0.0,95.5,89.68,185961504768,0
1610302891.9308121,91.6,3.8,4.5,0.0,95.5,89.68,186112159744,0
1610302892.9322388,90.5,5.1,4.4,0.0,95.6,89.68,185846259712,0
1610302893.9419827,89.8,5.7,4.5,0.0,95.5,89.68,185505034240,0
1610302894.9441347,90.7,4.8,4.5,0.0,95.5,92.19,185525428224,0
1610302895.9457467,91.8,3.7,4.6,0.0,95.4,92.19,185116999680,0
1610302896.9477444,90.1,5.3,4.5,0.0,95.5,92.19,185523740672,0
1610302897.949033,88.7,6.8,4.4,0.0,95.6,92.19,185191190528,0
1610302898.9674685,90.3,5.2,4.5,0.0,95.5,92.19,185433939968,0
1610302899.9687738,89.3,6.2,4.5,0.0,95.5,95.78,185463713792,0
1610302900.9861047,89.1,6.4,4.5,0.0,95.5,95.78,184709312512,0
1610302901.9889007,91.3,4.2,4.5,0.0,95.5,95.78,185539317760,0
1610302903.0016515,91.1,4.4,4.5,0.0,95.5,95.78,185294495744,0
1610302904.0047164,90.9,4.5,4.6,0.0,95.4,95.78,184939229184,0
1610302905.0500124,92.8,2.8,4.4,0.0,95.6,99.48,184808845312,0
1610302906.0773566,90.4,5.2,4.5,0.0,95.5,99.48,185172283392,0
1610302907.0805044,90.1,5.3,4.6,0.0,95.4,99.48,184822333440,0
1610302908.0819116,91.0,4.4,4.6,0.0,95.4,99.48,184402395136,0
1610302909.1595323,93.2,2.5,4.2,0.0,95.7,104.73,184250695680,0
1610302910.1614146,92.1,3.3,4.6,0.0,95.4,104.73,184448143360,0
1610302911.1645255,91.4,4.1,4.6,0.0,95.4,104.73,184670547968,0
1610302912.1662602,88.7,6.7,4.5,0.0,95.5,104.73,185389764608,0
1610302913.1913433,88.5,7.0,4.5,0.0,95.5,104.73,184998739968,0
1610302914.194219,90.1,5.3,4.6,0.0,95.4,105.23,184675430400,0
1610302915.1966653,88.6,6.9,4.5,0.0,95.5,105.23,184447057920,0
1610302916.1981316,89.5,6.0,4.5,0.0,95.5,105.23,183657652224,0
1610302917.2030897,91.0,4.4,4.5,0.0,95.4,105.23,183111254016,0
1610302918.2066274,92.3,3.2,4.6,0.0,95.4,105.23,183298359296,0
1610302919.2376525,91.9,3.7,4.5,0.0,95.5,110.26,183086530560,0
1610302920.2865605,92.4,3.2,4.3,0.0,95.7,110.26,183349116928,0
1610302921.2882345,91.8,3.6,4.6,0.0,95.4,110.26,183364390912,0
1610302922.2926834,91.2,4.3,4.6,0.0,95.4,110.26,183539425280,0
1610302923.2947772,92.7,2.8,4.5,0.0,95.5,110.26,183242780672,0
1610302924.2975566,90.8,4.6,4.6,0.0,95.4,114.08,183303208960,0
1610302925.304864,91.1,4.4,4.5,0.0,95.5,114.08,183345754112,0
1610302926.3466048,90.7,4.9,4.4,0.0,95.6,114.08,183530831872,0
1610302927.3665235,90.7,4.8,4.5,0.0,95.5,114.08,182963527680,0
1610302928.4075153,91.0,4.6,4.4,0.0,95.6,114.08,182867017728,0
1610302929.4921522,91.0,4.8,4.2,0.0,95.8,121.92,182168621056,0
1610302930.4936783,90.4,5.0,4.5,0.0,95.5,121.92,181822468096,0
1610302931.495623,88.9,6.6,4.5,0.0,95.5,121.92,181706838016,0
1610302932.5625808,85.3,6.2,8.5,0.0,91.5,121.92,182001975296,0
1610302933.624595,91.3,4.4,4.3,0.0,95.7,121.92,181884891136,0
1610302934.782992,90.9,5.2,3.9,0.0,96.1,125.53,182098399232,0
1610302935.804805,90.6,5.1,4.3,0.0,95.7,125.53,181851951104,0
1610302936.8062134,91.2,4.5,4.4,0.0,95.7,125.53,182006423552,0
1610302937.81399,91.6,3.9,4.4,0.0,95.6,125.53,181796909056,0
1610302938.8213482,92.0,3.5,4.5,0.0,95.4,125.53,181728063488,0
1610302939.8265543,90.7,4.8,4.5,0.0,95.5,132.38,181302919168,0
1610302940.8410492,91.4,4.0,4.5,0.0,95.5,132.38,181800448000,0
1610302941.843097,90.9,4.6,4.5,0.0,95.5,132.38,181528047616,0
1610302942.8448892,91.1,4.3,4.5,0.0,95.5,132.38,181019594752,0
1610302943.85032,91.5,4.0,4.5,0.0,95.5,132.38,181003894784,0
1610302944.852094,91.5,3.9,4.6,0.0,95.4,140.19,181277388800,0
1610302945.853883,90.7,4.7,4.5,0.0,95.5,140.19,181011542016,0
1610302946.8640265,90.6,4.8,4.5,0.0,95.5,140.19,181372289024,0
1610302947.8700805,90.3,5.2,4.6,0.0,95.5,140.19,181267148800,0
1610302948.8718567,91.6,3.9,4.6,0.0,95.4,140.19,181270491136,0
1610302949.87327,93.3,2.1,4.6,0.0,95.4,140.58,180944363520,0
1610302950.8747876,92.9,2.6,4.6,0.0,95.4,140.58,181112139776,0
1610302951.876826,91.8,3.7,4.5,0.0,95.5,140.58,180712488960,0
1610302952.9505997,93.2,2.5,4.3,0.0,95.7,140.58,180268564480,0
1610302954.0066125,94.1,1.7,4.2,0.0,95.8,140.58,180256792576,0
1610302955.0143669,93.2,2.2,4.6,0.0,95.4,159.11,180017504256,0
1610302956.0179908,91.0,4.5,4.6,0.0,95.5,159.11,180474343424,0
1610302957.0198188,89.7,5.8,4.5,0.0,95.5,159.11,179942555648,0
1610302958.1185522,90.8,5.1,4.1,0.0,95.9,159.11,180078407680,0
1610302959.1213477,92.0,3.4,4.5,0.0,95.4,159.11,179952594944,0
1610302960.132929,92.3,3.2,4.5,0.0,95.5,163.03,179616423936,0
1610302961.206768,91.8,3.8,4.4,0.0,95.6,163.03,179767017472,0
1610302962.2698216,92.4,3.3,4.3,0.0,95.7,163.03,179437854720,0
1610302963.434586,91.9,4.1,3.9,0.0,96.1,163.03,179737042944,0
1610302964.4431634,92.0,3.5,4.5,0.0,95.5,170.71,179633451008,0
1610302965.4460325,91.7,3.7,4.6,0.0,95.4,170.71,180046663680,0
1610302966.619819,87.5,4.8,7.7,0.0,92.3,170.71,180185202688,0
1610302967.7858956,91.7,4.3,3.9,0.0,96.1,170.71,180120125440,0
1610302968.7948847,90.8,4.7,4.5,0.0,95.5,170.71,179915472896,0
1610302969.8385828,90.8,4.9,4.3,0.0,95.7,173.54,179425882112,0
1610302970.882707,90.4,5.2,4.4,0.0,95.6,173.54,179156586496,0
1610302971.9265835,92.1,3.5,4.4,0.0,95.6,173.54,179133317120,0
1610302972.9825907,92.4,3.2,4.4,0.0,95.6,173.54,179109163008,0
1610302973.9875445,93.4,2.0,4.6,0.0,95.4,173.54,179215794176,0
1610302975.068822,93.5,2.3,4.2,0.0,95.8,182.06,179597926400,0
1610302976.0732388,92.2,3.3,4.4,0.0,95.6,182.06,179337363456,0
1610302977.0757315,92.0,3.4,4.6,0.0,95.4,182.06,179339440128,0
1610302978.1152983,92.9,2.7,4.4,0.0,95.6,182.06,179466596352,0
1610302979.1169705,92.3,3.2,4.6,0.0,95.4,182.06,179604205568,0
1610302980.11873,92.9,2.5,4.6,0.0,95.4,189.51,179410567168,0
1610302981.1436334,93.4,2.2,4.5,0.0,95.5,189.51,179086999552,0
1610302982.3239522,94.0,2.1,3.9,0.0,96.1,189.51,179087532032,0
1610302983.6541493,90.1,3.0,6.9,0.0,93.1,189.51,179152666624,0
1610302984.7069666,92.4,3.3,4.4,0.0,95.6,189.46,179005206528,0
1610302985.750714,92.4,3.3,4.4,0.0,95.6,189.46,179847368704,0
1610302986.807534,94.2,1.5,4.4,0.0,95.6,189.46,179973382144,0
1610302987.866597,93.4,2.3,4.3,0.0,95.7,189.46,179341168640,0
1610302988.9105947,94.2,1.5,4.3,0.0,95.7,189.46,179244670976,0
1610302989.9546,94.0,1.6,4.4,0.0,95.6,201.12,179036430336,0
1610302990.998584,93.7,1.9,4.4,0.0,95.6,201.12,178963185664,0
1610302992.0020716,93.0,2.4,4.6,0.0,95.4,201.12,179569975296,0
1610302993.0038707,92.4,3.1,4.5,0.0,95.5,201.12,179466825728,0
1610302994.0101042,92.1,3.3,4.6,0.0,95.4,201.12,180922437632,0
1610302995.0143714,89.5,6.0,4.5,0.0,95.5,200.23,181427519488,0
1610302996.0178304,90.8,4.6,4.6,0.0,95.4,200.23,181111611392,0
1610302997.0194378,92.7,2.8,4.5,0.0,95.5,200.23,181434077184,0
1610302998.0209575,91.7,3.6,4.6,0.0,95.4,200.23,181301886976,0
1610302999.0234365,90.5,5.0,4.5,0.0,95.5,200.23,181402882048,0
1610303000.0910115,90.2,5.5,4.2,0.0,95.8,200.29,180831977472,0
1610303001.4378183,92.9,3.8,3.3,0.0,96.7,200.29,180043988992,0
1610303002.4401689,91.7,3.8,4.4,0.0,95.6,200.29,180315074560,0
1610303003.4562635,90.6,5.0,4.4,0.0,95.6,200.29,180279513088,0
1610303004.6055064,88.7,3.4,8.0,0.0,92.0,200.83,180184096768,0
1610303005.812475,92.9,3.3,3.8,0.0,96.2,200.83,180757655552,0
1610303006.9729471,91.3,4.8,3.9,0.0,96.1,200.83,180246462464,0
1610303008.103926,91.8,4.2,4.0,0.0,96.0,200.83,180069945344,0
1610303009.239985,91.7,4.2,4.0,0.0,96.0,205.89,179393044480,0
1610303010.2664459,91.8,3.7,4.5,0.0,95.5,205.89,179236577280,0
1610303011.370582,94.6,1.3,4.2,0.0,95.8,205.89,179618869248,0
1610303012.3786001,94.2,1.3,4.5,0.0,95.5,205.89,180233117696,0
1610303013.3800113,92.9,2.5,4.6,0.0,95.4,205.89,180675461120,0
1610303014.3830438,92.4,3.0,4.6,0.0,95.4,210.7,180701827072,0
1610303015.396027,91.5,4.0,4.5,0.0,95.5,210.7,180356710400,0
1610303016.408282,91.5,3.9,4.5,0.0,95.5,210.7,181598097408,0
1610303017.766596,89.7,3.6,6.7,0.0,93.3,210.7,181284790272,0
