workloadID, workload argument, run, tFC, tVM
0,1000000,0,3635,188
0,1000000,1,3637,188
0,1000000,2,3633,188
0,1000000,3,3661,188
0,1000000,4,3634,188
0,1000000,5,3633,188
0,1000000,6,3633,188
0,1000000,7,3641,188
0,1000000,8,3630,188
0,1000000,9,3633,188
0,2500000,0,4118,671
0,2500000,1,4118,671
0,2500000,2,4125,671
0,2500000,3,4114,671
0,2500000,4,4133,671
0,2500000,5,4114,671
0,2500000,6,4118,671
0,2500000,7,4138,671
0,2500000,8,4121,671
0,2500000,9,4137,671
0,4000000,0,4749,1297
0,4000000,1,4749,1297
0,4000000,2,4738,1297
0,4000000,3,4741,1297
0,4000000,4,4743,1297
0,4000000,5,4745,1297
0,4000000,6,4746,1297
0,4000000,7,4746,1297
0,4000000,8,4745,1297
0,4000000,9,4739,1297
0,5500000,0,5481,2030
0,5500000,1,5473,2030
0,5500000,2,5477,2030
0,5500000,3,5481,2030
0,5500000,4,5473,2030
0,5500000,5,5489,2030
0,5500000,6,5473,2030
0,5500000,7,5478,2030
0,5500000,8,5477,2030
0,5500000,9,5473,2030
0,7000000,0,6305,2852
0,7000000,1,6301,2852
0,7000000,2,6305,2852
0,7000000,3,6297,2852
0,7000000,4,6301,2852
0,7000000,5,6301,2852
0,7000000,6,6305,2852
0,7000000,7,6302,2853
0,7000000,8,6301,2852
0,7000000,9,6297,2852
0,8500000,0,7201,3751
0,8500000,1,7197,3751
0,8500000,2,7205,3751
0,8500000,3,7194,3751
0,8500000,4,7201,3751
0,8500000,5,7202,3751
0,8500000,6,7205,3751
0,8500000,7,7198,3751
0,8500000,8,7197,3752
0,8500000,9,7202,3751
2,10,0,3822,349
2,10,1,3845,361
2,10,2,3834,354
2,10,3,3840,360
2,10,4,3842,360
2,10,5,3833,358
2,10,6,3839,356
2,10,7,3820,350
2,10,8,3831,354
2,10,9,3824,346
2,20,0,4083,580
2,20,1,4068,592
2,20,2,4063,587
2,20,3,4059,581
2,20,4,4035,561
2,20,5,4046,568
2,20,6,4077,599
2,20,7,4060,580
2,20,8,4054,580
2,20,9,4076,597
2,40,0,4478,1003
2,40,1,4512,1034
2,40,2,4475,1004
2,40,3,4536,1066
2,40,4,4508,1034
2,40,5,4499,1025
2,40,6,4507,1035
2,40,7,4524,1051
2,40,8,4509,1039
2,40,9,4507,1028
2,80,0,5356,1872
2,80,1,5340,1865
2,80,2,5406,1932
2,80,3,5472,1993
2,80,4,5364,1884
2,80,5,5340,1866
2,80,6,5435,1954
2,80,7,5444,1966
2,80,8,5440,1958
2,80,9,5386,1910
2,160,0,7335,3858
2,160,1,7083,3609
2,160,2,7363,3862
2,160,3,7116,3645
2,160,4,7294,3821
2,160,5,7137,3663
2,160,6,7260,3780
2,160,7,7169,3694
2,160,8,7227,3750
2,160,9,7096,3616
2,320,0,10451,6977
2,320,1,10944,7474
2,320,2,10855,7367
2,320,3,10971,7485
2,320,4,10996,7526
2,320,5,10948,7468
2,320,6,11061,7590
2,320,7,10907,7431
2,320,8,10980,7512
2,320,9,10698,7218
