#cpu_count: 36
#total_mem: 202471649280
t,cpu_user,cpu_system,cpu_idle,cpu_inter,cpu_percentage,load_1m,mem_avail,swap_used
1610725159.646263,1.0,0.0,13.0,0.0,7.1,0.16,200142581760,0
1610725160.6467495,0.1,0.1,99.9,0.0,0.1,0.16,200141635584,0
1610725161.6477416,0.1,0.0,99.9,0.0,0.1,0.16,200139046912,0
1610725162.6486504,1.2,1.0,97.7,0.1,2.3,0.16,200033067008,0
1610725163.6496985,6.2,2.7,90.7,0.4,9.3,0.16,199755071488,0
1610725164.6503768,14.3,2.4,82.9,0.4,17.1,0.95,199314784256,0
1610725165.6511235,23.9,3.9,71.7,0.5,28.3,0.95,198757937152,0
1610725166.6519,27.8,3.9,68.0,0.3,32.0,0.95,198406488064,0
1610725167.6530826,35.3,2.8,61.3,0.5,38.7,0.95,198301384704,0
1610725168.6542394,40.8,4.5,54.3,0.4,45.7,0.95,198181175296,0
1610725169.6549263,40.4,4.2,54.9,0.6,45.1,2.87,197852098560,0
1610725170.6561291,50.2,5.9,43.7,0.3,56.3,2.87,197543120896,0
1610725171.6572454,55.9,5.3,38.5,0.4,61.5,2.87,197322768384,0
1610725172.6583924,61.1,4.2,34.2,0.5,65.9,2.87,197251182592,0
1610725173.6595883,61.3,2.2,36.1,0.3,63.8,2.87,197645475840,0
1610725174.6608186,52.9,2.9,43.2,1.0,56.8,5.77,197721071616,0
1610725175.6620085,43.2,3.2,52.8,0.8,47.2,5.77,198149906432,0
1610725176.6632407,38.7,4.0,56.4,0.9,43.6,5.77,197891334144,0
1610725177.6644495,43.0,5.5,50.6,0.8,49.4,5.77,197849497600,0
1610725178.665578,54.9,4.6,40.0,0.5,60.0,5.77,197666058240,0
1610725179.6667893,59.0,3.8,36.6,0.6,63.4,8.43,197310332928,0
1610725180.6680157,52.1,3.4,44.2,0.3,55.8,8.43,197698490368,0
1610725181.6692693,53.5,5.2,41.1,0.2,58.9,8.43,197637529600,0
1610725182.670465,45.9,4.9,49.0,0.1,51.1,8.43,197811408896,0
1610725183.6716373,46.2,4.6,48.0,1.2,51.9,8.43,197740036096,0
1610725184.6728802,51.2,4.3,44.1,0.4,55.9,11.04,197797175296,0
1610725185.6741014,60.0,3.9,35.6,0.6,64.4,11.04,197719224320,0
1610725186.6752708,67.2,5.0,27.8,0.0,72.2,11.04,197653143552,0
1610725187.6759734,50.8,5.1,44.0,0.1,56.0,11.04,197223542784,0
1610725188.6767285,56.9,4.6,36.7,1.8,62.3,11.04,197242617856,0
1610725189.6779647,54.4,5.2,37.6,2.8000000000000003,59.7,13.68,197255663616,0
1610725190.679265,53.6,4.6,39.2,2.5999999999999996,59.0,13.68,197233557504,0
1610725191.680518,48.0,4.9,47.1,0.0,52.9,13.68,197387190272,0
1610725192.6814742,55.7,4.2,39.2,0.9,60.8,13.68,197773398016,0
1610725193.6822672,56.9,4.7,37.4,1.0,62.6,13.68,197891547136,0
1610725194.6834085,58.5,4.3,35.9,1.2,64.1,15.62,197852807168,0
1610725195.684653,46.1,4.9,48.7,0.3,51.3,15.62,197919559680,0
1610725196.6858585,43.9,6.2,49.5,0.3,50.5,15.62,197755019264,0
1610725197.6869905,51.9,5.7,42.4,0.0,57.6,15.62,197842976768,0
1610725198.6881013,56.9,4.2,38.9,0.0,61.1,15.62,197873684480,0
1610725199.6892755,56.1,3.7,39.6,0.5,60.3,17.42,197929271296,0
1610725200.6901186,49.3,4.5,45.9,0.3,54.1,17.42,197827731456,0
1610725201.6912863,43.2,4.2,51.4,1.2,48.6,17.42,198075404288,0
1610725202.6922438,37.4,3.4,57.9,1.2,42.0,17.42,198534930432,0
1610725203.6934848,27.0,3.3,69.6,0.2,30.4,17.42,198721499136,0
1610725204.6946847,30.2,4.3,65.0,0.6,35.1,17.38,198743384064,0
1610725205.6958892,37.5,4.6,57.0,0.8,42.9,17.38,198409175040,0
1610725206.6970513,39.9,4.4,55.1,0.6,44.9,17.38,198149152768,0
1610725207.697743,45.5,4.1,50.4,0.0,49.6,17.38,197833879552,0
1610725208.6984344,47.8,6.2,45.8,0.2,54.2,17.38,197770018816,0
1610725209.6996317,57.5,6.9,34.3,1.3,65.6,19.6,197128822784,0
