Determining baseline execution times...
primenumber,1000000
0,4067,283
1,3991,282
2,4033,283
3,3962,282
4,3977,282
5,3961,282
6,3987,283
7,4009,282
8,3948,282
9,3980,282
total,39915,2823

primenumber,2500000
0,4757,1010
1,4701,1011
2,4722,1011
3,4722,1011
4,4692,1011
5,4718,1011
6,4787,1011
7,4678,1010
8,4725,1010
9,4739,1010
total,47241,10106

primenumber,4000000
0,5637,1954
1,5652,1954
2,5633,1954
3,5648,1954
4,5706,1954
5,5620,1954
6,5619,1953
7,5621,1953
8,5644,1955
9,5623,1954
total,56403,19539

primenumber,5500000
0,6807,3059
1,6846,3059
2,6788,3059
3,6752,3060
4,6752,3059
5,6747,3059
6,6791,3060
7,6725,3060
8,6802,3059
9,6795,3059
total,67805,30593

primenumber,7000000
0,8010,4299
1,8011,4298
2,8168,4362
3,7975,4298
4,8037,4298
5,7977,4298
6,8029,4299
7,8022,4299
8,8010,4299
9,8017,4299
total,80256,43049

primenumber,8500000
0,9409,5655
1,9356,5655
2,9370,5656
3,9325,5654
4,9422,5674
5,9325,5654
6,9310,5653
7,9334,5653
8,9405,5656
9,9320,5652
total,93576,56562

dd-workload,4096
0,37579,33800
1,37511,33796
2,37596,33747
3,37540,33832
4,37556,33859
5,37333,33613
6,37284,33584
7,37359,33581
8,37405,33648
9,37605,33851
total,374768,337311

dd-workload,2048
0,20660,16926
1,20563,16868
2,20520,16838
3,20680,16957
4,20636,16891
5,20661,16955
6,20598,16901
7,20634,16875
8,20645,16908
9,20571,16834
total,206168,168953

dd-workload,1024
0,12147,8448
1,12246,8490
2,12183,8442
3,12247,8478
4,12150,8453
5,12203,8460
6,12171,8435
7,12144,8459
8,12192,8424
9,12234,8526
total,121917,84615

dd-workload,512
0,8089,4301
1,8040,4325
2,7984,4281
3,7970,4278
4,8040,4293
5,7963,4284
6,7992,4272
7,7955,4263
8,7984,4263
9,8020,4277
total,80037,42837

dd-workload,256
0,5925,2191
1,5944,2187
2,5897,2189
3,6003,2188
4,5931,2201
5,5901,2189
6,5968,2196
7,5963,2183
8,5924,2185
9,5946,2189
total,59402,21898

dd-workload,128
0,4849,1147
1,4917,1144
2,4918,1150
3,4842,1145
4,4953,1149
5,4927,1150
6,4843,1146
7,4852,1148
8,4862,1138
9,4841,1142
total,48804,11459

dd-workload,10
0,3803,92
1,3840,91
2,3785,91
3,3797,90
4,3758,90
5,3759,90
6,3765,91
7,3769,91
8,3829,91
9,3889,90
total,37994,907

dd-workload,1
0,3700,12
1,3678,12
2,3690,12
3,3779,12
4,3736,12
5,3690,12
6,3736,12
7,3667,12
8,3692,12
9,3680,12
total,37048,120

stream,10
0,4196,498
1,4239,499
2,4203,497
3,4226,500
4,4258,509
5,4238,513
6,4185,499
7,4186,498
8,4202,498
9,4277,513
total,42210,5024

stream,20
0,4534,837
1,4623,829
2,4535,821
3,4557,821
4,4589,826
5,4516,819
6,4564,832
7,4574,818
8,4525,840
9,4562,835
total,45579,8278

stream,40
0,5236,1475
1,5233,1477
2,5142,1459
3,5215,1469
4,5226,1458
5,5143,1458
6,5176,1493
7,5147,1463
8,5176,1473
9,5153,1471
total,51847,14696

stream,80
0,6437,2749
1,6518,2763
2,6489,2760
3,6486,2738
4,6488,2739
5,6469,2743
6,6464,2752
7,6542,2759
8,6439,2747
9,6425,2742
total,64757,27492

stream,160
0,9017,5313
1,9076,5326
2,9016,5312
3,9039,5312
4,9046,5327
5,9062,5329
6,9064,5318
7,9002,5304
8,9061,5308
9,8993,5302
total,90376,53151

stream,320
0,14114,10428
1,14120,10424
2,14152,10451
3,14232,10460
4,14216,10447
5,14170,10414
6,14231,10496
7,14175,10450
8,14171,10468
9,14163,10433
total,141744,104471

