Determining baseline execution times...
primenumber,1000000
0,4100,283
1,4172,282
2,4117,283
3,4140,283
4,4068,282
5,4037,283
6,4085,283
7,4092,283
8,4023,283
9,4092,283
total,40926,2828

primenumber,2500000
0,4900,1011
1,4795,1011
2,4836,1011
3,4772,1011
4,4831,1011
5,4753,1011
6,4825,1011
7,4837,1011
8,4762,1011
9,4843,1011
total,48154,10110

primenumber,4000000
0,5806,1962
1,5820,1954
2,5868,1954
3,5743,1955
4,5736,1955
5,5733,1954
6,5843,1954
7,5740,1954
8,5768,1955
9,5806,1954
total,57863,19551

primenumber,5500000
0,6926,3059
1,6783,3059
2,6866,3059
3,6842,3060
4,6847,3060
5,6858,3059
6,6855,3060
7,6883,3060
8,6849,3060
9,6925,3059
total,68634,30595

primenumber,7000000
0,8159,4299
1,8084,4298
2,8103,4311
3,8177,4297
4,8059,4299
5,8272,4300
6,8045,4298
7,8190,4299
8,8027,4298
9,8087,4299
total,81203,42998

primenumber,8500000
0,9532,5656
1,9433,5654
2,9587,5655
3,9582,5654
4,9388,5654
5,9445,5655
6,9402,5655
7,9526,5654
8,9410,5655
9,9593,5654
total,94898,56546

dd-workload,4096
0,37688,33904
1,37595,33669
2,37592,33762
3,37937,34032
4,37707,33782
5,37416,33616
6,37478,33630
7,37731,33773
8,37682,33823
9,37628,33748
total,376454,337739

dd-workload,2048
0,20820,16848
1,20679,16887
2,20798,16892
3,20656,16787
4,20801,16979
5,20770,16888
6,20739,16802
7,20613,16777
8,21085,17237
9,20769,16908
total,207730,169005

dd-workload,1024
0,12331,8474
1,12406,8479
2,12253,8466
3,12421,8468
4,12289,8469
5,12454,8588
6,12431,8610
7,12310,8466
8,12384,8436
9,12379,8528
total,123658,84984

dd-workload,512
0,8110,4275
1,8085,4256
2,8107,4253
3,8104,4279
4,8106,4248
5,8247,4326
6,8152,4302
7,8076,4269
8,8078,4270
9,8111,4270
total,81176,42748

dd-workload,256
0,5982,2183
1,6054,2185
2,6040,2182
3,6093,2191
4,6006,2187
5,6238,2319
6,6029,2225
7,6053,2181
8,5975,2187
9,6035,2210
total,60505,22050

dd-workload,128
0,5098,1143
1,4905,1138
2,4996,1141
3,5147,1250
4,4989,1137
5,5000,1135
6,5011,1141
7,4984,1142
8,4964,1141
9,5001,1146
total,50095,11514

dd-workload,10
0,3870,90
1,3904,90
2,3850,89
3,3932,90
4,3879,91
5,3872,89
6,3955,104
7,3864,89
8,3900,91
9,3955,90
total,38981,913

dd-workload,1
0,3782,12
1,3843,12
2,3892,12
3,3800,12
4,3743,12
5,3951,12
6,3747,12
7,3912,12
8,3968,12
9,3811,12
total,38449,120

stream,10
0,4412,525
1,4363,511
2,4347,522
3,4347,510
4,4347,509
5,4445,522
6,4366,509
7,4364,510
8,4394,523
9,4412,511
total,43797,5152

stream,20
0,4644,846
1,4709,860
2,4724,851
3,4729,859
4,4725,851
5,4724,842
6,4625,841
7,4729,859
8,4719,843
9,4646,838
total,46974,8490

stream,40
0,5415,1501
1,5292,1499
2,5449,1519
3,5363,1501
4,5282,1507
5,5358,1515
6,5467,1522
7,5359,1500
8,5310,1505
9,5394,1523
total,53689,15092

stream,80
0,6639,2822
1,6634,2826
2,6677,2840
3,6745,2841
4,6726,2837
5,6652,2828
6,6748,2878
7,6593,2818
8,6701,2826
9,6651,2841
total,66766,28357

stream,160
0,9241,5479
1,9355,5509
2,9405,5468
3,9393,5496
4,9266,5483
5,9345,5473
6,9366,5482
7,9344,5462
8,9349,5481
9,9357,5477
total,93421,54810

stream,320
0,14540,10765
1,14656,10802
2,14623,10739
3,14604,10732
4,14620,10758
5,14671,10817
6,14648,10761
7,14533,10747
8,14600,10767
9,14622,10768
total,146117,107656

